cell_id,Basileuterus rufifrons,Basileuterus rufifrons [rufifrons Group],Basileuterus rufifrons salvini
834521fffffffff,37.0,0.0,11.0
834525fffffffff,30.0,26.0,0.0
83452efffffffff,10.0,2.0,0.0
834814fffffffff,2.0,0.0,0.0
834833fffffffff,5.0,3.0,0.0
834836fffffffff,2.0,0.0,0.0
834883fffffffff,83.0,12.0,0.0
834886fffffffff,4.0,0.0,0.0
83488efffffffff,25.0,0.0,0.0
83489dfffffffff,23.0,0.0,0.0
8348a2fffffffff,9.0,3.0,0.0
8348abfffffffff,5.0,2.0,0.0
8348c5fffffffff,4.0,0.0,0.0
8348e3fffffffff,1.0,0.0,0.0
8348e8fffffffff,869.0,40.0,0.0
8348ecfffffffff,258.0,8.0,0.0
8348eefffffffff,867.0,14.0,0.0
834990fffffffff,4.0,0.0,0.0
834991fffffffff,2.0,2.0,0.0
834992fffffffff,2.0,0.0,0.0
834994fffffffff,27.0,7.0,0.0
834996fffffffff,20.0,4.0,0.0
834998fffffffff,2.0,2.0,0.0
83499bfffffffff,1.0,0.0,0.0
83499cfffffffff,5.0,0.0,0.0
8349a9fffffffff,2.0,2.0,0.0
8349b5fffffffff,1.0,1.0,0.0
836d04fffffffff,95.0,5.0,0.0
836d23fffffffff,16.0,1.0,7.0
836d28fffffffff,10.0,10.0,0.0
836d29fffffffff,2.0,2.0,0.0
836d2afffffffff,2.0,2.0,0.0
836d2bfffffffff,1.0,1.0,0.0
836d2dfffffffff,38.0,38.0,0.0
836d30fffffffff,31.0,22.0,9.0
836d31fffffffff,171.0,9.0,19.0
836d32fffffffff,358.0,355.0,0.0
836d33fffffffff,65.0,63.0,0.0
836d35fffffffff,5.0,2.0,0.0
