cell_id,Conirostrum cinereum,Conirostrum cinereum fraseri,Conirostrum cinereum cinereum/littorale
8366c6fffffffff,12.0,0.0,0.0
8366d1fffffffff,20.0,0.0,0.0
8366d3fffffffff,10.0,6.0,0.0
8366d5fffffffff,26.0,0.0,0.0
8366defffffffff,3.0,3.0,0.0
838e45fffffffff,2.0,0.0,0.0
838e62fffffffff,3.0,0.0,0.0
838e66fffffffff,2.0,0.0,0.0
838e75fffffffff,3.0,0.0,0.0
838f59fffffffff,4.0,0.0,0.0
838f5afffffffff,1.0,0.0,0.0
838f5cfffffffff,1.0,0.0,1.0
83b300fffffffff,4.0,0.0,4.0
83b304fffffffff,7.0,0.0,2.0
83b30afffffffff,3.0,0.0,0.0
83b320fffffffff,3.0,0.0,0.0
83b335fffffffff,4.0,0.0,0.0
