cell_id,Aethopyga christinae,Aethopyga christinae latouchii/sokolovi,Aethopyga christinae christinae
84309a5ffffffff,63.0,0.0,0.0
84309adffffffff,2.0,0.0,0.0
844004dffffffff,2.0,0.0,0.0
84400a5ffffffff,2.0,0.0,0.0
8440123ffffffff,1.0,0.0,0.0
8440197ffffffff,2.0,0.0,0.0
8440201ffffffff,2.0,0.0,0.0
844020bffffffff,11.0,0.0,0.0
844022bffffffff,8.0,0.0,0.0
8440247ffffffff,2.0,0.0,0.0
8440269ffffffff,4.0,0.0,0.0
84402d7ffffffff,16.0,0.0,0.0
8440369ffffffff,6.0,0.0,0.0
844036dffffffff,2.0,0.0,0.0
8440e09ffffffff,2.0,0.0,0.0
8440e11ffffffff,10.0,0.0,0.0
8440e13ffffffff,1.0,0.0,0.0
8440e1dffffffff,2.0,0.0,0.0
8440e3dffffffff,7.0,0.0,0.0
8440e5bffffffff,2.0,0.0,0.0
8441035ffffffff,107.0,12.0,0.0
8441037ffffffff,116.0,0.0,0.0
8441091ffffffff,2.0,0.0,0.0
84410a5ffffffff,2.0,0.0,0.0
8441105ffffffff,4.0,0.0,0.0
844112bffffffff,2.0,0.0,0.0
8441163ffffffff,1.0,0.0,0.0
8441183ffffffff,1.0,0.0,0.0
8441185ffffffff,6.0,0.0,0.0
8441189ffffffff,4.0,0.0,0.0
844118bffffffff,52.0,0.0,0.0
844118dffffffff,1.0,0.0,0.0
8441193ffffffff,3.0,0.0,0.0
8441199ffffffff,20.0,0.0,0.0
844119dffffffff,6.0,0.0,0.0
84411a5ffffffff,7.0,0.0,0.0
84411a7ffffffff,2.0,0.0,0.0
84411adffffffff,2.0,0.0,0.0
84411b5ffffffff,3.0,0.0,0.0
84411bdffffffff,3.0,0.0,0.0
84411c1ffffffff,12.0,0.0,0.0
84411c3ffffffff,6.0,0.0,0.0
84411c9ffffffff,281.0,11.0,0.0
84411cbffffffff,1065.0,125.0,0.0
84411d1ffffffff,2.0,0.0,0.0
84411d3ffffffff,4.0,0.0,0.0
84411d5ffffffff,54.0,0.0,0.0
84411d7ffffffff,38.0,0.0,0.0
84411d9ffffffff,2.0,0.0,0.0
84411ddffffffff,10.0,0.0,0.0
844142bffffffff,1.0,0.0,0.0
8441431ffffffff,2.0,0.0,0.0
8441433ffffffff,124.0,13.0,0.0
8441439ffffffff,2.0,0.0,0.0
844143bffffffff,70.0,10.0,0.0
8441503ffffffff,2.0,0.0,0.0
8441517ffffffff,6.0,0.0,0.0
8441539ffffffff,6.0,0.0,0.0
844153dffffffff,2.0,0.0,0.0
8441585ffffffff,9.0,1.0,0.0
84415a1ffffffff,6.0,0.0,0.0
84415a9ffffffff,3.0,1.0,0.0
84415c3ffffffff,51.0,8.0,0.0
84415ddffffffff,2.0,0.0,0.0
84415e7ffffffff,2.0,0.0,0.0
84415e9ffffffff,1.0,0.0,0.0
84415edffffffff,79.0,5.0,0.0
8441611ffffffff,2.0,2.0,0.0
8441617ffffffff,8.0,0.0,0.0
8441651ffffffff,1.0,0.0,0.0
8441655ffffffff,17.0,4.0,0.0
8441657ffffffff,1.0,0.0,0.0
84416a7ffffffff,1.0,0.0,0.0
84416e1ffffffff,6.0,0.0,0.0
84416e5ffffffff,4.0,0.0,0.0
8441701ffffffff,2.0,0.0,1.0
8441705ffffffff,1.0,0.0,1.0
8441715ffffffff,15.0,0.0,6.0
8441719ffffffff,167.0,0.0,89.0
8441739ffffffff,1.0,0.0,1.0
844173dffffffff,1.0,0.0,0.0
8441829ffffffff,3.0,0.0,0.0
8441845ffffffff,1.0,0.0,0.0
844184bffffffff,11.0,1.0,0.0
8441855ffffffff,11.0,0.0,0.0
8441859ffffffff,9.0,0.0,0.0
8441863ffffffff,2.0,0.0,0.0
844186bffffffff,2.0,0.0,0.0
8441919ffffffff,13.0,0.0,0.0
8441949ffffffff,2.0,0.0,0.0
84419dbffffffff,2.0,0.0,0.0
8441a09ffffffff,27.0,5.0,0.0
8441a0bffffffff,4.0,0.0,0.0
8441a43ffffffff,834.0,187.0,0.0
8441a47ffffffff,2.0,0.0,0.0
8441a55ffffffff,513.0,188.0,0.0
8441a57ffffffff,2.0,0.0,0.0
8441ab3ffffffff,2.0,0.0,0.0
8441b0bffffffff,1.0,1.0,0.0
8441b31ffffffff,2.0,0.0,0.0
8441b35ffffffff,4.0,0.0,0.0
8441b43ffffffff,42.0,0.0,0.0
8441b53ffffffff,67.0,4.0,0.0
8441b55ffffffff,1.0,0.0,0.0
8441b57ffffffff,1.0,1.0,0.0
8441b5dffffffff,24.0,10.0,0.0
844b369ffffffff,2.0,0.0,0.0
8469341ffffffff,2.0,0.0,0.0
8469345ffffffff,48.0,0.0,0.0
