cell_id,Apalis rufogularis,Apalis rufogularis rufogularis/sanderi,Apalis rufogularis angolensis/brauni,Apalis rufogularis nigrescens/kigezi
825887fffffffff,1.0,0.0,0.0,0.0
8258d7fffffffff,6.0,0.0,0.0,0.0
8258dffffffffff,7.0,5.0,0.0,0.0
8258e7fffffffff,2.0,0.0,0.0,0.0
826a9ffffffffff,25.0,0.0,0.0,0.0
826ac7fffffffff,428.0,0.0,0.0,77.0
826acffffffffff,154.0,0.0,0.0,30.0
826adffffffffff,510.0,0.0,0.0,56.0
826aeffffffffff,210.0,0.0,0.0,22.0
827a4ffffffffff,257.0,0.0,0.0,22.0
827a6ffffffffff,4.0,0.0,0.0,0.0
828287fffffffff,7.0,3.0,0.0,0.0
82828ffffffffff,144.0,53.0,0.0,0.0
828297fffffffff,8.0,1.0,0.0,0.0
8282a7fffffffff,4.0,1.0,0.0,0.0
8282affffffffff,15.0,2.0,0.0,0.0
8282d7fffffffff,35.0,19.0,0.0,0.0
8282f7fffffffff,2.0,0.0,0.0,0.0
828317fffffffff,15.0,0.0,3.0,0.0
828397fffffffff,3.0,0.0,0.0,0.0
82839ffffffffff,29.0,0.0,0.0,0.0
8283a7fffffffff,2.0,0.0,0.0,0.0
8283affffffffff,21.0,0.0,9.0,0.0
82960ffffffffff,9.0,0.0,0.0,0.0
829657fffffffff,7.0,0.0,0.0,1.0
8296d7fffffffff,2.0,0.0,0.0,0.0
