cell_id,Carpodacus rubicilla,Carpodacus rubicilla rubicilla,Carpodacus rubicilla [severtzovi Group]
8420499ffffffff,2.0,0.0,0.0
842083bffffffff,3.0,0.0,0.0
842088bffffffff,1.0,0.0,1.0
84208a7ffffffff,2.0,0.0,0.0
84208c7ffffffff,1.0,0.0,0.0
84208e1ffffffff,3.0,0.0,0.0
84208ebffffffff,2.0,0.0,0.0
8424001ffffffff,3.0,0.0,0.0
84240adffffffff,3.0,0.0,0.0
84241c9ffffffff,1.0,0.0,0.0
8424825ffffffff,1.0,0.0,1.0
8424851ffffffff,2.0,0.0,0.0
8424887ffffffff,4.0,0.0,0.0
842488bffffffff,2.0,0.0,0.0
84248a7ffffffff,2.0,0.0,0.0
842492bffffffff,2.0,0.0,0.0
8424947ffffffff,6.0,0.0,0.0
842499dffffffff,2.0,0.0,2.0
84249c1ffffffff,3.0,0.0,0.0
84249d9ffffffff,2.0,0.0,0.0
8425135ffffffff,2.0,0.0,2.0
8425161ffffffff,2.0,0.0,2.0
8425163ffffffff,2.0,0.0,0.0
8425169ffffffff,2.0,0.0,0.0
8425ac9ffffffff,4.0,0.0,0.0
842c083ffffffff,1.0,0.0,0.0
842c281ffffffff,4.0,0.0,0.0
842c283ffffffff,179.0,61.0,0.0
842c289ffffffff,1.0,0.0,0.0
842c2cbffffffff,19.0,8.0,0.0
842d535ffffffff,10.0,0.0,0.0
843c00dffffffff,3.0,0.0,0.0
843c011ffffffff,1.0,0.0,0.0
843c031ffffffff,9.0,0.0,0.0
843c039ffffffff,4.0,0.0,0.0
843c047ffffffff,4.0,0.0,3.0
843c097ffffffff,2.0,0.0,2.0
843c099ffffffff,3.0,0.0,0.0
843c0a9ffffffff,5.0,0.0,0.0
843c0d5ffffffff,2.0,0.0,2.0
843c0e3ffffffff,65.0,0.0,0.0
843c0e7ffffffff,2.0,0.0,0.0
843c311ffffffff,10.0,0.0,0.0
843c319ffffffff,1.0,0.0,0.0
843c31bffffffff,1.0,1.0,0.0
843c617ffffffff,2.0,0.0,2.0
843c633ffffffff,3.0,0.0,0.0
843c683ffffffff,4.0,0.0,0.0
843c6c1ffffffff,2.0,0.0,0.0
843c6e3ffffffff,4.0,0.0,0.0
843c70dffffffff,1.0,0.0,0.0
843c723ffffffff,1.0,0.0,0.0
843c727ffffffff,2.0,0.0,1.0
843d001ffffffff,4.0,0.0,0.0
843d005ffffffff,91.0,0.0,0.0
843d009ffffffff,3.0,0.0,0.0
843d00dffffffff,45.0,0.0,0.0
843d02dffffffff,4.0,0.0,0.0
843d041ffffffff,19.0,0.0,0.0
843d043ffffffff,39.0,0.0,0.0
843d045ffffffff,67.0,0.0,0.0
843d047ffffffff,10.0,0.0,0.0
843d049ffffffff,24.0,0.0,0.0
843d04dffffffff,55.0,0.0,0.0
843d063ffffffff,4.0,0.0,0.0
843d065ffffffff,12.0,0.0,0.0
843d067ffffffff,28.0,0.0,0.0
843d069ffffffff,4.0,0.0,0.0
843d06bffffffff,178.0,0.0,0.0
843d15bffffffff,25.0,0.0,0.0
843d1c1ffffffff,1.0,0.0,0.0
843d20dffffffff,1.0,0.0,0.0
843d223ffffffff,17.0,0.0,0.0
843d227ffffffff,13.0,0.0,0.0
843d22dffffffff,6.0,0.0,0.0
843d231ffffffff,1.0,0.0,0.0
843d26bffffffff,1.0,0.0,0.0
843d313ffffffff,2.0,0.0,0.0
843d319ffffffff,2.0,0.0,0.0
843d31bffffffff,2.0,0.0,0.0
843d33bffffffff,3.0,0.0,0.0
843d353ffffffff,1.0,0.0,0.0
843d35bffffffff,4.0,0.0,0.0
843d497ffffffff,5.0,0.0,4.0
843d59bffffffff,2.0,0.0,0.0
