cell_id,Pelecanus occidentalis,Pelecanus occidentalis carolinensis,Pelecanus occidentalis californicus,Pelecanus occidentalis occidentalis/murphyi,Pelecanus occidentalis urinator
8428005ffffffff,64.0,0.0,0.0,0.0,0.0
8428007ffffffff,27.0,0.0,0.0,0.0,0.0
8428023ffffffff,792.0,0.0,0.0,0.0,0.0
842802bffffffff,4135.0,0.0,29.0,0.0,0.0
8428035ffffffff,195.0,0.0,0.0,0.0,0.0
842803dffffffff,33.0,0.0,0.0,0.0,0.0
8428045ffffffff,12.0,0.0,0.0,0.0,0.0
8428063ffffffff,199.0,0.0,0.0,0.0,0.0
8428069ffffffff,1232.0,0.0,36.0,0.0,0.0
842806bffffffff,502.0,0.0,11.0,0.0,0.0
8428183ffffffff,59.0,0.0,33.0,0.0,0.0
842818bffffffff,137.0,0.0,3.0,0.0,0.0
8428195ffffffff,625.0,0.0,175.0,0.0,0.0
842819dffffffff,507.0,0.0,145.0,0.0,0.0
84281b3ffffffff,1404.0,0.0,0.0,0.0,0.0
84281b5ffffffff,2.0,0.0,0.0,0.0,0.0
84281b9ffffffff,23.0,0.0,5.0,0.0,0.0
84281bbffffffff,229.0,0.0,0.0,0.0,0.0
84281c3ffffffff,423.0,0.0,6.0,0.0,0.0
84281c9ffffffff,82.0,0.0,0.0,0.0,0.0
84281cbffffffff,1115.0,0.0,12.0,0.0,0.0
84281d1ffffffff,1.0,0.0,0.0,0.0,0.0
84281d5ffffffff,207.0,0.0,0.0,0.0,0.0
84281ddffffffff,105.0,0.0,0.0,0.0,0.0
8428301ffffffff,138.0,0.0,4.0,0.0,0.0
8428309ffffffff,20586.0,0.0,1746.0,0.0,0.0
842830bffffffff,4504.0,0.0,493.0,0.0,0.0
842830dffffffff,1.0,0.0,0.0,0.0,0.0
8428311ffffffff,173.0,0.0,7.0,0.0,0.0
8428313ffffffff,244.0,0.0,9.0,0.0,0.0
8428319ffffffff,94.0,0.0,25.0,0.0,0.0
842831dffffffff,5106.0,0.0,726.0,0.0,0.0
8428341ffffffff,6403.0,0.0,276.0,0.0,0.0
8428343ffffffff,14300.0,0.0,7561.0,0.0,0.0
8428345ffffffff,7.0,0.0,0.0,0.0,0.0
8428347ffffffff,2965.0,0.0,52.0,0.0,0.0
8428349ffffffff,1950.0,0.0,257.0,0.0,0.0
