cell_id,Corythornis cristatus,Corythornis cristatus [cristatus Group],Corythornis cristatus thomensis,Corythornis cristatus nais
83524dfffffffff,6.0,0.0,0.0,0.0
8354e4fffffffff,1.0,0.0,0.0,0.0
836332fffffffff,4.0,2.0,0.0,0.0
836ac3fffffffff,1.0,1.0,0.0,0.0
836ac8fffffffff,6.0,2.0,0.0,0.0
836ac9fffffffff,1.0,1.0,0.0,0.0
83750dfffffffff,4.0,4.0,0.0,0.0
837520fffffffff,1.0,1.0,0.0,0.0
837a40fffffffff,2.0,2.0,0.0,0.0
837a41fffffffff,1.0,0.0,0.0,0.0
837a45fffffffff,2.0,1.0,0.0,0.0
837a64fffffffff,1.0,0.0,0.0,0.0
837a68fffffffff,5.0,5.0,0.0,0.0
837a6afffffffff,1.0,0.0,0.0,0.0
837acdfffffffff,2.0,0.0,0.0,0.0
837b4afffffffff,10.0,0.0,0.0,0.0
837b4cfffffffff,25.0,0.0,0.0,0.0
839741fffffffff,1.0,1.0,0.0,0.0
83974afffffffff,1.0,0.0,0.0,0.0
83974efffffffff,8.0,0.0,0.0,0.0
83bcc2fffffffff,7.0,0.0,0.0,0.0
83bcd2fffffffff,2.0,0.0,0.0,0.0
83bcd6fffffffff,1.0,1.0,0.0,0.0
