cell_id,Pygochelidon cyanoleuca,Pygochelidon cyanoleuca cyanoleuca,Pygochelidon cyanoleuca peruviana,Pygochelidon cyanoleuca patagonica
835f58fffffffff,5.0,0.0,0.0,0.0
835f71fffffffff,4.0,0.0,0.0,0.0
836608fffffffff,7.0,0.0,0.0,0.0
83660bfffffffff,6.0,0.0,0.0,0.0
836611fffffffff,2.0,0.0,0.0,0.0
836618fffffffff,1.0,0.0,0.0,0.0
836619fffffffff,2.0,0.0,0.0,0.0
83661bfffffffff,1.0,1.0,0.0,0.0
836629fffffffff,7.0,7.0,0.0,0.0
8366a0fffffffff,46.0,0.0,0.0,0.0
8366a5fffffffff,2.0,0.0,0.0,0.0
8366b1fffffffff,1.0,0.0,0.0,0.0
8366b4fffffffff,46.0,35.0,0.0,0.0
8366b5fffffffff,97.0,0.0,0.0,0.0
8366c6fffffffff,1.0,0.0,0.0,0.0
8366d3fffffffff,13.0,4.0,0.0,2.0
8366d4fffffffff,1.0,0.0,0.0,0.0
8366defffffffff,3.0,0.0,0.0,0.0
8366e6fffffffff,18.0,10.0,0.0,0.0
8366f0fffffffff,2.0,0.0,0.0,0.0
8366f1fffffffff,1.0,0.0,0.0,0.0
8366f5fffffffff,5.0,0.0,0.0,0.0
836741fffffffff,1.0,0.0,0.0,0.0
836742fffffffff,2.0,0.0,0.0,0.0
83674cfffffffff,2.0,0.0,0.0,0.0
83674efffffffff,1.0,1.0,0.0,0.0
836751fffffffff,4.0,0.0,0.0,0.0
836755fffffffff,6.0,0.0,0.0,0.0
836758fffffffff,4.0,0.0,0.0,0.0
836759fffffffff,1.0,0.0,0.0,0.0
83675afffffffff,2.0,0.0,0.0,0.0
83675cfffffffff,4.0,0.0,0.0,0.0
83675efffffffff,2.0,0.0,0.0,0.0
83679afffffffff,256.0,1.0,0.0,0.0
83679bfffffffff,2.0,0.0,0.0,0.0
836d68fffffffff,4.0,0.0,0.0,0.0
836d69fffffffff,35.0,18.0,0.0,0.0
83814afffffffff,2.0,0.0,0.0,0.0
838158fffffffff,2.0,0.0,0.0,0.0
83819dfffffffff,4.0,0.0,0.0,0.0
838b0cfffffffff,3.0,0.0,0.0,0.0
838b2afffffffff,2.0,0.0,0.0,0.0
838b61fffffffff,2.0,0.0,0.0,0.0
838b63fffffffff,1.0,0.0,0.0,0.0
838b69fffffffff,1.0,0.0,0.0,0.0
838b9dfffffffff,1.0,0.0,0.0,0.0
838e45fffffffff,2.0,0.0,0.0,0.0
838e62fffffffff,8.0,3.0,2.0,0.0
838e75fffffffff,2.0,2.0,0.0,0.0
838f0dfffffffff,7.0,7.0,0.0,0.0
838f2afffffffff,9.0,9.0,0.0,0.0
838f46fffffffff,3.0,0.0,0.0,3.0
838f50fffffffff,18.0,0.0,13.0,0.0
838f56fffffffff,2.0,0.0,0.0,0.0
838f72fffffffff,1.0,0.0,0.0,0.0
83a811fffffffff,3.0,3.0,0.0,0.0
83a840fffffffff,2.0,0.0,0.0,0.0
83a876fffffffff,2.0,0.0,0.0,0.0
83a88bfffffffff,1.0,1.0,0.0,0.0
83a88dfffffffff,2.0,2.0,0.0,0.0
83a88efffffffff,4.0,4.0,0.0,0.0
83a8a1fffffffff,2.0,2.0,0.0,0.0
83a92cfffffffff,4.0,0.0,0.0,0.0
83a92dfffffffff,1.0,1.0,0.0,0.0
83a94efffffffff,6.0,0.0,0.0,0.0
83a961fffffffff,4.0,0.0,0.0,0.0
83a962fffffffff,4.0,0.0,0.0,0.0
83a965fffffffff,6.0,0.0,0.0,0.0
83a971fffffffff,6.0,0.0,0.0,0.0
83b200fffffffff,6.0,0.0,0.0,0.0
83b201fffffffff,21.0,0.0,0.0,0.0
83b203fffffffff,1.0,0.0,0.0,0.0
83b20afffffffff,2.0,0.0,0.0,0.0
83b219fffffffff,60.0,0.0,0.0,0.0
83b21dfffffffff,8.0,0.0,0.0,0.0
83b241fffffffff,1.0,0.0,0.0,1.0
83b249fffffffff,5.0,0.0,0.0,0.0
83b24dfffffffff,6.0,0.0,0.0,0.0
83b253fffffffff,1.0,0.0,0.0,0.0
83b25cfffffffff,6.0,0.0,0.0,0.0
83b25efffffffff,2.0,0.0,0.0,0.0
83b270fffffffff,4.0,0.0,0.0,0.0
83b274fffffffff,6.0,2.0,0.0,0.0
83b2c0fffffffff,83.0,0.0,0.0,12.0
83b2c1fffffffff,3.0,0.0,0.0,0.0
83b2c3fffffffff,4.0,0.0,0.0,0.0
83b2c4fffffffff,125.0,0.0,0.0,20.0
83b2c5fffffffff,12.0,0.0,0.0,0.0
83b2dafffffffff,1.0,0.0,0.0,0.0
83b2dcfffffffff,14.0,0.0,0.0,0.0
83b2ddfffffffff,3.0,0.0,0.0,0.0
83b2e2fffffffff,70.0,0.0,0.0,0.0
83b2e3fffffffff,4.0,0.0,0.0,0.0
83b2e6fffffffff,22.0,0.0,0.0,0.0
83b2e9fffffffff,2.0,0.0,0.0,0.0
83b2ecfffffffff,12.0,0.0,0.0,0.0
83b325fffffffff,1.0,0.0,0.0,1.0
83b330fffffffff,3.0,0.0,0.0,0.0
83b342fffffffff,6.0,0.0,0.0,0.0
83b34dfffffffff,1.0,0.0,0.0,0.0
83b351fffffffff,12.0,4.0,0.0,0.0
83b353fffffffff,7.0,0.0,0.0,0.0
83b35bfffffffff,2.0,0.0,0.0,0.0
83b373fffffffff,2.0,2.0,0.0,0.0
83c2c5fffffffff,3.0,0.0,0.0,0.0
83c2c9fffffffff,2.0,0.0,0.0,0.0
83c2cafffffffff,2.0,0.0,0.0,0.0
83c2d4fffffffff,3.0,0.0,0.0,0.0
83c2d6fffffffff,2.0,0.0,0.0,0.0
83c2e9fffffffff,1.0,0.0,0.0,0.0
83c2ebfffffffff,8.0,0.0,0.0,0.0
83c2f1fffffffff,5.0,0.0,0.0,0.0
83c2f2fffffffff,2.0,0.0,0.0,0.0
83c2f3fffffffff,4.0,0.0,0.0,0.0
83c305fffffffff,3.0,0.0,0.0,3.0
83c320fffffffff,4.0,0.0,0.0,0.0
83c321fffffffff,3.0,0.0,0.0,3.0
83c324fffffffff,4.0,0.0,0.0,0.0
83c32efffffffff,11.0,0.0,0.0,9.0
83c348fffffffff,1.0,0.0,0.0,0.0
83ce81fffffffff,7.0,0.0,0.0,0.0
83ce88fffffffff,7.0,0.0,0.0,0.0
83ce8afffffffff,2.0,0.0,0.0,0.0
83ce8cfffffffff,11.0,0.0,0.0,2.0
83ce8efffffffff,10.0,0.0,0.0,0.0
83ce9dfffffffff,2.0,0.0,0.0,0.0
83ceaafffffffff,6.0,0.0,0.0,0.0
83cf12fffffffff,2.0,0.0,0.0,2.0
83cf8cfffffffff,2.0,0.0,0.0,2.0
83cf91fffffffff,2.0,0.0,0.0,0.0
83cf94fffffffff,14.0,0.0,0.0,0.0
83cfa2fffffffff,3.0,0.0,0.0,0.0
83cfa4fffffffff,6.0,0.0,0.0,0.0
83cfacfffffffff,1.0,0.0,0.0,1.0
83df68fffffffff,1.0,0.0,0.0,0.0
83df69fffffffff,4.0,0.0,0.0,1.0
83df6bfffffffff,4.0,0.0,0.0,4.0
