cell_id,Dicrurus sharpei,Dicrurus sharpei occidentalis,Dicrurus sharpei sharpei
835440fffffffff,2.0,2.0,0.0
835452fffffffff,1.0,1.0,0.0
8354ccfffffffff,1.0,1.0,0.0
8354e0fffffffff,3.0,3.0,0.0
8354e1fffffffff,6.0,6.0,0.0
8354e2fffffffff,19.0,19.0,0.0
8354e3fffffffff,3.0,3.0,0.0
8354e8fffffffff,7.0,7.0,0.0
8354eafffffffff,1.0,0.0,0.0
8354ecfffffffff,3.0,3.0,0.0
8354eefffffffff,3.0,3.0,0.0
8354f0fffffffff,1.0,1.0,0.0
8354f1fffffffff,20.0,20.0,0.0
8354f4fffffffff,22.0,22.0,0.0
8354f5fffffffff,5.0,5.0,0.0
835883fffffffff,5.0,1.0,4.0
835890fffffffff,2.0,2.0,0.0
835891fffffffff,1.0,0.0,0.0
835894fffffffff,4.0,4.0,0.0
8358a6fffffffff,6.0,5.0,0.0
8358b5fffffffff,2.0,2.0,0.0
8358c8fffffffff,9.0,0.0,9.0
8358cdfffffffff,3.0,0.0,3.0
8358d1fffffffff,3.0,0.0,3.0
8358d2fffffffff,1.0,0.0,1.0
8358d3fffffffff,1.0,0.0,1.0
8358e6fffffffff,6.0,0.0,6.0
8358f1fffffffff,2.0,0.0,2.0
8358f4fffffffff,1.0,1.0,0.0
836ac5fffffffff,4.0,0.0,4.0
837506fffffffff,1.0,1.0,0.0
837508fffffffff,4.0,4.0,0.0
83750dfffffffff,1.0,1.0,0.0
837513fffffffff,1.0,1.0,0.0
837520fffffffff,78.0,78.0,0.0
837529fffffffff,11.0,11.0,0.0
83752dfffffffff,4.0,4.0,0.0
83752efffffffff,1.0,1.0,0.0
8375a0fffffffff,3.0,3.0,0.0
8375a6fffffffff,1.0,1.0,0.0
8375abfffffffff,1.0,1.0,0.0
8375b0fffffffff,1.0,1.0,0.0
837a4cfffffffff,319.0,0.0,308.0
837a4dfffffffff,139.0,0.0,138.0
83828dfffffffff,4.0,0.0,4.0
8382a0fffffffff,3.0,0.0,3.0
8382a8fffffffff,4.0,0.0,4.0
8382aafffffffff,2.0,0.0,2.0
8382d3fffffffff,1.0,0.0,1.0
838312fffffffff,7.0,0.0,7.0
838335fffffffff,2.0,0.0,2.0
83838efffffffff,1.0,0.0,1.0
8383a8fffffffff,3.0,0.0,3.0
