cell_id,Apalis rufogularis,Apalis rufogularis rufogularis/sanderi,Apalis rufogularis angolensis/brauni,Apalis rufogularis nigrescens/kigezi
8458833ffffffff,1.0,0.0,0.0,0.0
8458d23ffffffff,2.0,0.0,0.0,0.0
8458d33ffffffff,1.0,0.0,0.0,0.0
8458db5ffffffff,2.0,0.0,0.0,0.0
8458de5ffffffff,5.0,5.0,0.0,0.0
8458e2dffffffff,2.0,0.0,0.0,0.0
846a9e7ffffffff,17.0,0.0,0.0,0.0
846a9edffffffff,8.0,0.0,0.0,0.0
846ac03ffffffff,46.0,0.0,0.0,5.0
846ac0bffffffff,59.0,0.0,0.0,12.0
846ac11ffffffff,5.0,0.0,0.0,0.0
846ac15ffffffff,307.0,0.0,0.0,60.0
846ac19ffffffff,2.0,0.0,0.0,0.0
846ac1dffffffff,1.0,0.0,0.0,0.0
846ac23ffffffff,1.0,0.0,0.0,0.0
846ac31ffffffff,2.0,0.0,0.0,0.0
846ac35ffffffff,1.0,0.0,0.0,0.0
846ac39ffffffff,2.0,0.0,0.0,0.0
846ac3dffffffff,2.0,0.0,0.0,0.0
846ac89ffffffff,5.0,0.0,0.0,5.0
846ac8bffffffff,1.0,0.0,0.0,0.0
846acadffffffff,4.0,0.0,0.0,0.0
846acc3ffffffff,1.0,0.0,0.0,1.0
846acc7ffffffff,15.0,0.0,0.0,4.0
846acd1ffffffff,2.0,0.0,0.0,1.0
846acd5ffffffff,125.0,0.0,0.0,19.0
846ace5ffffffff,1.0,0.0,0.0,0.0
846adc1ffffffff,493.0,0.0,0.0,53.0
846adc5ffffffff,16.0,0.0,0.0,2.0
846add9ffffffff,1.0,0.0,0.0,1.0
846ae85ffffffff,4.0,0.0,0.0,0.0
846aea1ffffffff,193.0,0.0,0.0,19.0
846aea5ffffffff,2.0,0.0,0.0,0.0
846aea7ffffffff,1.0,0.0,0.0,0.0
846aeabffffffff,10.0,0.0,0.0,3.0
847a48bffffffff,7.0,0.0,0.0,0.0
847a4cbffffffff,153.0,0.0,0.0,14.0
847a4ddffffffff,96.0,0.0,0.0,8.0
847a683ffffffff,3.0,0.0,0.0,0.0
847a695ffffffff,1.0,0.0,0.0,0.0
847a6b7ffffffff,1.0,0.0,0.0,0.0
8482125ffffffff,3.0,0.0,0.0,0.0
8482819ffffffff,1.0,0.0,0.0,0.0
84828adffffffff,1.0,0.0,0.0,0.0
84828bdffffffff,1.0,0.0,0.0,0.0
84828d1ffffffff,142.0,53.0,0.0,0.0
848290bffffffff,8.0,1.0,0.0,0.0
8482a37ffffffff,6.0,3.0,0.0,0.0
8482a55ffffffff,1.0,1.0,0.0,0.0
8482a81ffffffff,8.0,1.0,0.0,0.0
8482aadffffffff,5.0,1.0,0.0,0.0
8482ab3ffffffff,2.0,0.0,0.0,0.0
8482d03ffffffff,12.0,6.0,0.0,0.0
8482d07ffffffff,1.0,0.0,0.0,0.0
8482d1dffffffff,15.0,13.0,0.0,0.0
8482d27ffffffff,3.0,0.0,0.0,0.0
8482d37ffffffff,3.0,0.0,0.0,0.0
8482d3dffffffff,4.0,0.0,0.0,0.0
8482f69ffffffff,2.0,0.0,0.0,0.0
8483125ffffffff,2.0,0.0,0.0,0.0
8483137ffffffff,4.0,0.0,4.0,0.0
848313dffffffff,2.0,0.0,0.0,0.0
8483151ffffffff,13.0,0.0,3.0,0.0
8483921ffffffff,3.0,0.0,0.0,0.0
8483981ffffffff,8.0,0.0,0.0,0.0
8483983ffffffff,13.0,0.0,0.0,0.0
848398bffffffff,8.0,0.0,0.0,0.0
8483a89ffffffff,3.0,0.0,0.0,0.0
8483ac3ffffffff,12.0,0.0,5.0,0.0
8483ad1ffffffff,2.0,0.0,0.0,0.0
8496093ffffffff,2.0,0.0,0.0,0.0
8496097ffffffff,4.0,0.0,0.0,0.0
84960bbffffffff,5.0,0.0,0.0,0.0
8496561ffffffff,1.0,0.0,0.0,0.0
8496569ffffffff,3.0,0.0,0.0,1.0
849656bffffffff,1.0,0.0,0.0,0.0
8496d21ffffffff,1.0,0.0,0.0,0.0
8496d2dffffffff,1.0,0.0,0.0,0.0
