cell_id,Daption capense,Daption capense capense,Daption capense australe
82611ffffffffff,1.0,0.0,0.0
828e47fffffffff,2.0,0.0,0.0
828e77fffffffff,4.0,0.0,0.0
829487fffffffff,2.0,2.0,0.0
82a117fffffffff,1.0,0.0,0.0
82a927fffffffff,3.0,0.0,0.0
82ad37fffffffff,29.0,1.0,0.0
82b2c7fffffffff,74.0,0.0,0.0
82b307fffffffff,2.0,0.0,0.0
82b337fffffffff,2.0,0.0,0.0
82bb0ffffffffff,14.0,4.0,1.0
82bb27fffffffff,4.0,0.0,3.0
82bb2ffffffffff,39.0,2.0,1.0
82bb37fffffffff,4.0,0.0,4.0
82be2ffffffffff,12.0,6.0,6.0
82be6ffffffffff,2.0,0.0,0.0
82beaffffffffff,24.0,0.0,2.0
82bf4ffffffffff,1.0,0.0,0.0
82bf6ffffffffff,19.0,2.0,11.0
82c307fffffffff,10.0,3.0,0.0
82c337fffffffff,46.0,0.0,0.0
82c987fffffffff,10.0,0.0,0.0
82c99ffffffffff,5.0,0.0,0.0
82ce17fffffffff,3.0,0.0,0.0
82ce37fffffffff,17.0,0.0,0.0
82d44ffffffffff,1.0,0.0,0.0
82d46ffffffffff,24.0,0.0,16.0
82da07fffffffff,21.0,0.0,11.0
82da0ffffffffff,10.0,4.0,6.0
82da17fffffffff,2.0,0.0,0.0
82da1ffffffffff,58.0,12.0,11.0
82da37fffffffff,15.0,0.0,15.0
82da77fffffffff,2.0,0.0,2.0
82da87fffffffff,174.0,6.0,16.0
82da8ffffffffff,32.0,4.0,8.0
82da97fffffffff,41.0,8.0,6.0
82daaffffffffff,89.0,2.0,15.0
82dab7fffffffff,19.0,0.0,15.0
82daeffffffffff,1.0,0.0,0.0
82db87fffffffff,50.0,4.0,43.0
82db97fffffffff,17.0,0.0,17.0
82de0ffffffffff,9.0,0.0,0.0
82de1ffffffffff,2.0,0.0,0.0
82de27fffffffff,2.0,0.0,0.0
82de37fffffffff,1.0,0.0,0.0
82de77fffffffff,2.0,0.0,0.0
82de97fffffffff,7.0,0.0,0.0
82deb7fffffffff,2.0,0.0,0.0
82df0ffffffffff,3.0,0.0,0.0
82df1ffffffffff,2.0,0.0,0.0
82df47fffffffff,6.0,0.0,0.0
82df4ffffffffff,2.0,0.0,0.0
82df5ffffffffff,2.0,2.0,0.0
82df6ffffffffff,6.0,0.0,0.0
82df77fffffffff,5.0,3.0,0.0
82df87fffffffff,7.0,0.0,0.0
82df8ffffffffff,2.0,0.0,0.0
82df9ffffffffff,4.0,0.0,0.0
82dfaffffffffff,14.0,0.0,0.0
