cell_id,Catharus fuscater,Catharus fuscater hellmayri,Catharus fuscater [fuscater Group]
8466085ffffffff,2.0,0.0,0.0
8466089ffffffff,21.0,0.0,0.0
846608dffffffff,9.0,0.0,0.0
84660b3ffffffff,2.0,0.0,0.0
84660b7ffffffff,42.0,0.0,0.0
84660b9ffffffff,8.0,0.0,0.0
84660bdffffffff,8.0,0.0,0.0
84660c3ffffffff,1.0,0.0,0.0
84660cbffffffff,31.0,0.0,0.0
84660ddffffffff,34.0,0.0,0.0
8466115ffffffff,1.0,0.0,0.0
8466129ffffffff,60.0,0.0,0.0
8466131ffffffff,72.0,0.0,10.0
8466137ffffffff,5.0,0.0,5.0
8466139ffffffff,41.0,0.0,1.0
8466181ffffffff,1.0,0.0,0.0
846618bffffffff,2.0,0.0,0.0
8466191ffffffff,5.0,0.0,0.0
8466195ffffffff,3.0,0.0,0.0
8466197ffffffff,20.0,0.0,0.0
846619bffffffff,2.0,0.0,0.0
846619dffffffff,2.0,0.0,0.0
84661b3ffffffff,1.0,0.0,0.0
84661bbffffffff,4.0,0.0,2.0
8466207ffffffff,8.0,0.0,0.0
8466213ffffffff,1.0,0.0,0.0
8466217ffffffff,324.0,0.0,0.0
846622bffffffff,1702.0,0.0,183.0
846623dffffffff,48.0,0.0,17.0
8466291ffffffff,84.0,0.0,0.0
8466299ffffffff,32.0,0.0,0.0
846629bffffffff,2.0,0.0,0.0
846629dffffffff,45.0,0.0,0.0
84662b1ffffffff,16.0,0.0,0.0
84662b7ffffffff,4.0,0.0,0.0
84662bbffffffff,2.0,0.0,0.0
84662e9ffffffff,1.0,0.0,0.0
8466a05ffffffff,3.0,0.0,0.0
8466a29ffffffff,2.0,0.0,0.0
8466a2dffffffff,13.0,0.0,0.0
8466b41ffffffff,136.0,0.0,0.0
8466b43ffffffff,5.0,0.0,0.0
8466b45ffffffff,77.0,0.0,0.0
8466b47ffffffff,2.0,0.0,0.0
8466b49ffffffff,140.0,0.0,0.0
8466b4dffffffff,1486.0,0.0,0.0
8466b51ffffffff,144.0,10.0,0.0
8466b53ffffffff,5.0,1.0,0.0
8466b55ffffffff,14.0,0.0,0.0
8466b5bffffffff,249.0,6.0,0.0
8466b5dffffffff,9.0,0.0,0.0
8466c0dffffffff,3.0,0.0,0.0
