cell_id,Turdus falcklandii,Turdus falcklandii magellanicus/pembertoni,Turdus falcklandii falcklandii
84b2223ffffffff,2.0,0.0,0.0
84b2261ffffffff,3.0,0.0,0.0
84b2993ffffffff,2.0,0.0,0.0
84b2c03ffffffff,1.0,0.0,0.0
84b2c0dffffffff,74.0,74.0,0.0
84b2c11ffffffff,2.0,0.0,0.0
84b2c17ffffffff,3.0,0.0,0.0
84b2c39ffffffff,8.0,6.0,0.0
84b2c41ffffffff,54.0,54.0,0.0
84b2c47ffffffff,26.0,25.0,0.0
84b2c49ffffffff,1.0,1.0,0.0
84b2c4bffffffff,2.0,2.0,0.0
84b2c4dffffffff,3.0,3.0,0.0
84b2c51ffffffff,9.0,9.0,0.0
84b2c55ffffffff,14.0,1.0,0.0
84b2c85ffffffff,6.0,0.0,0.0
84b2ce5ffffffff,1.0,1.0,0.0
84b2e27ffffffff,6.0,6.0,0.0
84b2e33ffffffff,3.0,0.0,0.0
84b2e35ffffffff,2.0,2.0,0.0
84b2e37ffffffff,3.0,2.0,0.0
84b2e4dffffffff,1.0,0.0,0.0
84b2ee9ffffffff,2.0,0.0,0.0
84b2eebffffffff,3.0,0.0,0.0
84c3217ffffffff,3.0,3.0,0.0
84ce819ffffffff,4.0,2.0,0.0
84ce8c1ffffffff,3.0,0.0,0.0
84ce8c7ffffffff,2.0,0.0,0.0
84cea03ffffffff,2.0,0.0,0.0
84cea17ffffffff,1.0,1.0,0.0
84cea37ffffffff,1.0,1.0,0.0
84ceaa7ffffffff,8.0,0.0,0.0
84ceac1ffffffff,2.0,2.0,0.0
84cf12bffffffff,2.0,0.0,0.0
84cf165ffffffff,3.0,0.0,0.0
84cf16dffffffff,2.0,2.0,0.0
84cf329ffffffff,8.0,3.0,0.0
84cf88dffffffff,6.0,0.0,0.0
84de62dffffffff,5.0,0.0,5.0
84de665ffffffff,2.0,0.0,2.0
84de707ffffffff,5.0,0.0,5.0
84df451ffffffff,2.0,2.0,0.0
84df459ffffffff,2.0,2.0,0.0
84df683ffffffff,1.0,0.0,0.0
84df689ffffffff,2.0,2.0,0.0
84df68bffffffff,2.0,2.0,0.0
84df699ffffffff,3.0,2.0,0.0
84df69dffffffff,2.0,0.0,0.0
84df6b7ffffffff,2.0,2.0,0.0
84df6d7ffffffff,5.0,4.0,0.0
