cell_id,Emberiza godlewskii,Emberiza godlewskii [godlewskii Group],Emberiza godlewskii yunnanensis/khamensis
83204afffffffff,2.0,0.0,0.0
83204bfffffffff,5.0,0.0,0.0
83204dfffffffff,2.0,0.0,0.0
83206bfffffffff,5.0,0.0,0.0
832400fffffffff,12.0,0.0,0.0
832403fffffffff,5.0,0.0,0.0
83240afffffffff,23.0,0.0,0.0
83240efffffffff,1.0,0.0,0.0
83241dfffffffff,7.0,0.0,0.0
832420fffffffff,1.0,0.0,0.0
832425fffffffff,5.0,0.0,0.0
832429fffffffff,2.0,0.0,0.0
832450fffffffff,7.0,0.0,0.0
832452fffffffff,6.0,0.0,0.0
832456fffffffff,43.0,0.0,0.0
832473fffffffff,1.0,0.0,0.0
832480fffffffff,3.0,0.0,0.0
832483fffffffff,8.0,0.0,0.0
832485fffffffff,2.0,0.0,0.0
832488fffffffff,6.0,0.0,0.0
83248afffffffff,22.0,0.0,0.0
83248bfffffffff,58.0,0.0,0.0
83248cfffffffff,8.0,1.0,0.0
83248efffffffff,5.0,0.0,0.0
83249dfffffffff,4.0,0.0,0.0
8324abfffffffff,2.0,0.0,0.0
8324c0fffffffff,14.0,0.0,0.0
8324c6fffffffff,23.0,0.0,0.0
8324d1fffffffff,7.0,0.0,0.0
8324d2fffffffff,11.0,1.0,0.0
8324d5fffffffff,1.0,0.0,0.0
8324d6fffffffff,19.0,0.0,0.0
832510fffffffff,4.0,0.0,0.0
832512fffffffff,32.0,0.0,0.0
832513fffffffff,20.0,0.0,0.0
832516fffffffff,2.0,0.0,0.0
832542fffffffff,2.0,0.0,0.0
83255afffffffff,7.0,0.0,0.0
83255bfffffffff,2.0,0.0,0.0
8325acfffffffff,19.0,0.0,0.0
8325b0fffffffff,19.0,0.0,0.0
8325b2fffffffff,2.0,0.0,0.0
8325b4fffffffff,7.0,0.0,0.0
833030fffffffff,15.0,4.0,0.0
833034fffffffff,5.0,0.0,0.0
833036fffffffff,7.0,0.0,0.0
833113fffffffff,4.0,0.0,0.0
833126fffffffff,6.0,0.0,0.0
833134fffffffff,2.0,0.0,0.0
833181fffffffff,15.0,0.0,0.0
833182fffffffff,2.0,0.0,0.0
833185fffffffff,605.0,0.0,0.0
833190fffffffff,9.0,0.0,0.0
833191fffffffff,3.0,0.0,0.0
833192fffffffff,14.0,0.0,0.0
833194fffffffff,1.0,0.0,0.0
8331a3fffffffff,7.0,1.0,0.0
8331a8fffffffff,76.0,0.0,0.0
8331aafffffffff,91.0,0.0,0.0
8331abfffffffff,4.0,0.0,0.0
8331aefffffffff,31.0,0.0,0.0
833c08fffffffff,1.0,0.0,0.0
833c09fffffffff,5.0,0.0,0.0
833c0cfffffffff,2.0,0.0,0.0
833c0dfffffffff,4.0,0.0,0.0
833c40fffffffff,2.0,0.0,0.0
833c41fffffffff,5.0,0.0,0.0
833c42fffffffff,23.0,0.0,0.0
833c43fffffffff,22.0,0.0,0.0
833c4afffffffff,3.0,0.0,0.0
833c51fffffffff,2.0,0.0,0.0
833c54fffffffff,2.0,0.0,0.0
833c56fffffffff,7.0,0.0,0.0
833c58fffffffff,1.0,0.0,0.0
833c59fffffffff,198.0,0.0,0.0
833c5bfffffffff,1.0,0.0,0.0
833c5cfffffffff,17.0,0.0,0.0
833c68fffffffff,54.0,0.0,0.0
833c69fffffffff,3.0,0.0,0.0
833c6afffffffff,62.0,0.0,0.0
833c6bfffffffff,3.0,0.0,0.0
833c6efffffffff,7.0,0.0,0.0
833c72fffffffff,36.0,0.0,0.0
83400dfffffffff,2.0,0.0,0.0
834040fffffffff,5.0,0.0,0.0
834043fffffffff,3.0,0.0,0.0
834044fffffffff,40.0,0.0,2.0
83404efffffffff,4.0,0.0,0.0
834052fffffffff,1.0,0.0,0.0
834058fffffffff,18.0,0.0,0.0
834059fffffffff,2.0,0.0,0.0
83405afffffffff,2.0,0.0,0.0
83405bfffffffff,5.0,0.0,0.0
83405cfffffffff,19.0,0.0,0.0
83405dfffffffff,3.0,0.0,0.0
834071fffffffff,27.0,0.0,2.0
834073fffffffff,4.0,0.0,0.0
834088fffffffff,3.0,0.0,0.0
8340c0fffffffff,8.0,0.0,0.0
8340c1fffffffff,6.0,0.0,0.0
8340c2fffffffff,71.0,1.0,0.0
8340c3fffffffff,2.0,0.0,0.0
8340c5fffffffff,14.0,0.0,0.0
8340c6fffffffff,7.0,0.0,0.0
8340cefffffffff,9.0,0.0,0.0
8340d3fffffffff,4.0,0.0,0.0
8340dafffffffff,2.0,0.0,0.0
8340dcfffffffff,15.0,0.0,0.0
8340defffffffff,1.0,0.0,0.0
8340e3fffffffff,2.0,0.0,0.0
8340e5fffffffff,1.0,0.0,0.0
8340ecfffffffff,17.0,0.0,0.0
8340eefffffffff,3.0,0.0,0.0
