cell_id,Hypsipetes everetti,Hypsipetes everetti everetti,Hypsipetes everetti haynaldi
826847fffffffff,11.0,1.0,0.0
82684ffffffffff,358.0,59.0,0.0
82685ffffffffff,29.0,4.0,0.0
82686ffffffffff,50.0,11.0,0.0
8268e7fffffffff,7.0,0.0,0.0
