cell_id,Pezoporus wallicus,Pezoporus wallicus flaviventris,Pezoporus wallicus wallicus
83b959fffffffff,3.0,3.0,0.0
83be0cfffffffff,205.0,0.0,58.0
83be0dfffffffff,11.0,0.0,2.0
83be18fffffffff,11.0,0.0,2.0
83be1afffffffff,1.0,0.0,0.0
83be1dfffffffff,2.0,0.0,2.0
83be29fffffffff,81.0,0.0,21.0
83be74fffffffff,65.0,0.0,40.0
83be88fffffffff,187.0,0.0,61.0
83bea9fffffffff,27.0,0.0,12.0
83bf48fffffffff,1.0,0.0,0.0
83bf49fffffffff,59.0,0.0,23.0
83bf4dfffffffff,27.0,0.0,14.0
83bf6bfffffffff,41.0,0.0,17.0
83d896fffffffff,10.0,0.0,7.0
83d8b6fffffffff,90.0,0.0,31.0
