cell_id,Aegolius acadicus,Aegolius acadicus acadicus,Aegolius acadicus brooksi
830c42fffffffff,23.0,0.0,0.0
830c45fffffffff,2.0,0.0,0.0
830c46fffffffff,10.0,0.0,0.0
830c51fffffffff,32.0,0.0,0.0
830c55fffffffff,13.0,0.0,0.0
830c71fffffffff,5.0,0.0,0.0
830c73fffffffff,131.0,0.0,0.0
830e49fffffffff,3.0,0.0,0.0
830e4dfffffffff,5.0,0.0,0.0
830e5bfffffffff,14.0,0.0,0.0
830ed9fffffffff,3.0,0.0,0.0
83120afffffffff,4.0,0.0,0.0
83121afffffffff,2.0,0.0,0.0
83121efffffffff,1.0,0.0,0.0
831243fffffffff,5.0,0.0,0.0
83124afffffffff,2.0,0.0,0.0
83124efffffffff,6.0,0.0,0.0
831250fffffffff,2.0,0.0,0.0
831251fffffffff,48.0,0.0,0.0
831252fffffffff,7.0,0.0,0.0
831253fffffffff,1.0,0.0,0.0
831256fffffffff,6.0,0.0,0.0
831258fffffffff,4.0,0.0,0.0
831259fffffffff,15.0,0.0,0.0
83125cfffffffff,3.0,0.0,0.0
83125dfffffffff,10.0,0.0,0.0
83125efffffffff,2.0,0.0,0.0
83126afffffffff,2.0,0.0,0.0
831272fffffffff,2.0,0.0,0.0
831282fffffffff,2.0,0.0,0.0
831284fffffffff,2.0,0.0,0.0
831285fffffffff,1.0,0.0,0.0
831289fffffffff,9.0,0.0,0.0
83128bfffffffff,107.0,0.0,0.0
83128dfffffffff,9.0,0.0,0.0
83128efffffffff,2.0,0.0,0.0
831290fffffffff,8.0,0.0,0.0
831293fffffffff,2.0,0.0,0.0
831294fffffffff,14.0,0.0,0.0
83129afffffffff,1.0,0.0,0.0
83129bfffffffff,1.0,0.0,0.0
8312a2fffffffff,2.0,0.0,0.0
8312a3fffffffff,1.0,0.0,0.0
8312a9fffffffff,2.0,0.0,0.0
8312aafffffffff,2.0,0.0,0.0
8312abfffffffff,33.0,0.0,0.0
8312adfffffffff,14.0,0.0,0.0
8312b0fffffffff,2.0,0.0,0.0
8312b1fffffffff,2.0,0.0,0.0
8312b4fffffffff,3.0,0.0,0.0
8312c0fffffffff,19.0,0.0,0.0
8312c1fffffffff,39.0,0.0,0.0
8312c3fffffffff,4.0,0.0,0.0
8312c8fffffffff,10.0,0.0,0.0
