cell_id,Erythropitta celebensis,Erythropitta celebensis celebensis,Erythropitta celebensis caeruleitorques,Erythropitta celebensis palliceps
8468c21ffffffff,2.0,2.0,0.0,0.0
8468c23ffffffff,1.0,1.0,0.0,0.0
8468c27ffffffff,1.0,1.0,0.0,0.0
8468c3dffffffff,6.0,6.0,0.0,0.0
8468c81ffffffff,36.0,31.0,0.0,0.0
8468c89ffffffff,3.0,3.0,0.0,0.0
8468c8bffffffff,74.0,71.0,0.0,0.0
8468cd1ffffffff,9.0,0.0,0.0,9.0
8468cd9ffffffff,7.0,0.0,0.0,7.0
8468cdbffffffff,1.0,0.0,0.0,1.0
8468ce7ffffffff,40.0,38.0,0.0,0.0
8468d05ffffffff,1.0,1.0,0.0,0.0
8468d29ffffffff,5.0,5.0,0.0,0.0
8468d2bffffffff,2.0,2.0,0.0,0.0
8468d63ffffffff,1.0,1.0,0.0,0.0
8468dd9ffffffff,1.0,1.0,0.0,0.0
8468ddbffffffff,3.0,3.0,0.0,0.0
8473b61ffffffff,15.0,0.0,15.0,0.0
8473b6dffffffff,3.0,0.0,3.0,0.0
8495009ffffffff,1.0,1.0,0.0,0.0
849500bffffffff,13.0,13.0,0.0,0.0
8495055ffffffff,5.0,5.0,0.0,0.0
84950d1ffffffff,4.0,4.0,0.0,0.0
84950dbffffffff,5.0,5.0,0.0,0.0
