cell_id,Pogonornis minor,Pogonornis minor minor,Pogonornis minor macclounii
838230fffffffff,3.0,0.0,0.0
838236fffffffff,2.0,0.0,0.0
8382a0fffffffff,9.0,1.0,0.0
838312fffffffff,10.0,0.0,0.0
838315fffffffff,5.0,0.0,0.0
838333fffffffff,4.0,0.0,0.0
839600fffffffff,27.0,0.0,6.0
839601fffffffff,36.0,0.0,3.0
839602fffffffff,36.0,0.0,11.0
839603fffffffff,16.0,0.0,12.0
839604fffffffff,1.0,0.0,0.0
839605fffffffff,2.0,0.0,0.0
839606fffffffff,1.0,0.0,0.0
839608fffffffff,6.0,0.0,1.0
839609fffffffff,14.0,0.0,2.0
83960bfffffffff,5.0,0.0,0.0
83960efffffffff,11.0,0.0,1.0
839610fffffffff,3.0,0.0,0.0
839613fffffffff,6.0,0.0,0.0
839614fffffffff,2.0,0.0,0.0
839615fffffffff,29.0,0.0,4.0
83961cfffffffff,1.0,0.0,0.0
83961dfffffffff,3.0,0.0,0.0
839623fffffffff,18.0,0.0,0.0
839628fffffffff,28.0,0.0,5.0
839629fffffffff,3.0,0.0,0.0
83962afffffffff,5.0,0.0,0.0
83962bfffffffff,27.0,0.0,0.0
83962efffffffff,22.0,0.0,1.0
839673fffffffff,2.0,0.0,0.0
839685fffffffff,1.0,0.0,0.0
8396a5fffffffff,10.0,0.0,0.0
8396a8fffffffff,2.0,0.0,0.0
