cell_id,Stigmatura budytoides,Stigmatura budytoides [budytoides Group],Stigmatura budytoides gracilis
838014fffffffff,1.0,0.0,1.0
838030fffffffff,166.0,0.0,81.0
838034fffffffff,6.0,0.0,0.0
838035fffffffff,3.0,0.0,0.0
838036fffffffff,2.0,0.0,2.0
838100fffffffff,1.0,0.0,0.0
838101fffffffff,3.0,0.0,3.0
838102fffffffff,2.0,0.0,2.0
838105fffffffff,9.0,0.0,7.0
838106fffffffff,2.0,0.0,0.0
83810efffffffff,3.0,0.0,3.0
838113fffffffff,4.0,0.0,4.0
838115fffffffff,3.0,0.0,0.0
838118fffffffff,6.0,0.0,4.0
838119fffffffff,4.0,0.0,0.0
83811afffffffff,19.0,0.0,12.0
83811efffffffff,6.0,0.0,6.0
838121fffffffff,14.0,0.0,5.0
838124fffffffff,2.0,0.0,0.0
838125fffffffff,12.0,0.0,3.0
83812afffffffff,1.0,0.0,1.0
838133fffffffff,2.0,0.0,0.0
8381a8fffffffff,5.0,0.0,0.0
8381adfffffffff,63.0,0.0,28.0
8381aefffffffff,2.0,0.0,0.0
838b20fffffffff,292.0,0.0,0.0
838b21fffffffff,10.0,0.0,0.0
838b24fffffffff,12.0,0.0,0.0
838b25fffffffff,76.0,0.0,0.0
838b26fffffffff,3.0,0.0,0.0
838b2cfffffffff,25.0,0.0,0.0
838b34fffffffff,1.0,0.0,0.0
83a84dfffffffff,1.0,0.0,0.0
83a865fffffffff,60.0,0.0,0.0
83a869fffffffff,1.0,0.0,0.0
83a86dfffffffff,4.0,0.0,0.0
83a94dfffffffff,17.0,0.0,0.0
83b209fffffffff,14.0,0.0,0.0
83b20bfffffffff,26.0,0.0,0.0
83b20dfffffffff,10.0,0.0,0.0
83b229fffffffff,2.0,0.0,0.0
83b22bfffffffff,6.0,0.0,0.0
83b22dfffffffff,8.0,0.0,0.0
83b240fffffffff,58.0,0.0,0.0
83b241fffffffff,228.0,0.0,0.0
83b242fffffffff,152.0,0.0,0.0
83b243fffffffff,159.0,0.0,0.0
83b244fffffffff,45.0,0.0,0.0
83b245fffffffff,21.0,0.0,0.0
83b246fffffffff,145.0,0.0,0.0
83b24afffffffff,7.0,0.0,0.0
83b24bfffffffff,3.0,0.0,0.0
83b24cfffffffff,70.0,0.0,0.0
83b24efffffffff,26.0,0.0,0.0
83b250fffffffff,14.0,0.0,0.0
83b251fffffffff,222.0,0.0,0.0
83b252fffffffff,62.0,0.0,0.0
83b253fffffffff,17.0,0.0,0.0
83b254fffffffff,21.0,0.0,0.0
83b255fffffffff,17.0,0.0,0.0
83b256fffffffff,7.0,0.0,0.0
83b258fffffffff,207.0,0.0,0.0
83b259fffffffff,28.0,0.0,0.0
83b25afffffffff,19.0,0.0,0.0
83b25bfffffffff,6.0,0.0,0.0
83b25cfffffffff,268.0,0.0,0.0
83b25dfffffffff,272.0,0.0,0.0
83b25efffffffff,272.0,0.0,0.0
83b260fffffffff,1.0,0.0,0.0
83b261fffffffff,14.0,0.0,0.0
83b262fffffffff,86.0,0.0,0.0
83b263fffffffff,28.0,0.0,0.0
83b265fffffffff,11.0,0.0,0.0
83b266fffffffff,60.0,0.0,0.0
83b268fffffffff,22.0,0.0,0.0
83b26afffffffff,41.0,0.0,0.0
83b26efffffffff,6.0,0.0,0.0
83b270fffffffff,58.0,0.0,0.0
83b271fffffffff,38.0,0.0,0.0
83b272fffffffff,64.0,0.0,0.0
83b273fffffffff,2.0,0.0,0.0
83b274fffffffff,3.0,0.0,0.0
83b275fffffffff,223.0,0.0,0.0
83b276fffffffff,20.0,0.0,0.0
83b2c8fffffffff,1.0,0.0,0.0
83b2cdfffffffff,9.0,0.0,0.0
83b2e1fffffffff,18.0,0.0,0.0
83b2e8fffffffff,51.0,0.0,0.0
83b2e9fffffffff,146.0,0.0,0.0
83b2eafffffffff,2.0,0.0,0.0
83b2ebfffffffff,70.0,0.0,0.0
83b2ecfffffffff,146.0,0.0,0.0
83b2edfffffffff,48.0,0.0,0.0
83b2eefffffffff,117.0,0.0,0.0
83b32dfffffffff,19.0,0.0,0.0
83b340fffffffff,15.0,0.0,0.0
83b341fffffffff,5.0,0.0,0.0
83b342fffffffff,126.0,0.0,0.0
83b343fffffffff,111.0,0.0,0.0
83b344fffffffff,3.0,0.0,0.0
83b345fffffffff,2.0,0.0,0.0
83b348fffffffff,10.0,0.0,0.0
83b349fffffffff,40.0,0.0,0.0
83b34afffffffff,25.0,0.0,0.0
83b34bfffffffff,149.0,0.0,0.0
83b34cfffffffff,28.0,0.0,0.0
83b34dfffffffff,59.0,0.0,0.0
83b34efffffffff,11.0,0.0,0.0
83b351fffffffff,17.0,0.0,0.0
83b358fffffffff,49.0,0.0,0.0
83b359fffffffff,2.0,0.0,0.0
83b35afffffffff,302.0,0.0,0.0
83b35bfffffffff,31.0,0.0,0.0
83b35cfffffffff,221.0,0.0,0.0
83b35dfffffffff,41.0,0.0,0.0
83b35efffffffff,385.0,0.0,0.0
83b360fffffffff,19.0,0.0,0.0
83b361fffffffff,60.0,0.0,0.0
83b362fffffffff,45.0,0.0,0.0
83b363fffffffff,21.0,0.0,0.0
83b364fffffffff,1.0,0.0,0.0
83b365fffffffff,6.0,0.0,0.0
83b366fffffffff,29.0,0.0,0.0
83b368fffffffff,36.0,0.0,0.0
83b369fffffffff,20.0,0.0,0.0
83b36afffffffff,7.0,0.0,0.0
83b36bfffffffff,3.0,0.0,0.0
83b36dfffffffff,173.0,0.0,0.0
83c22afffffffff,1.0,0.0,0.0
83c2c9fffffffff,2.0,0.0,0.0
83c2e5fffffffff,2.0,0.0,0.0
83c308fffffffff,5.0,0.0,0.0
83c309fffffffff,11.0,0.0,0.0
83c30dfffffffff,3.0,0.0,0.0
83c328fffffffff,1.0,0.0,0.0
83c329fffffffff,162.0,0.0,0.0
83c32bfffffffff,16.0,0.0,0.0
83c32efffffffff,1.0,0.0,0.0
83c340fffffffff,185.0,0.0,0.0
83c341fffffffff,9.0,0.0,0.0
83c343fffffffff,1.0,0.0,0.0
83c344fffffffff,9.0,0.0,0.0
83c345fffffffff,32.0,0.0,0.0
83c346fffffffff,9.0,0.0,0.0
83c34cfffffffff,8.0,0.0,0.0
83c350fffffffff,16.0,0.0,0.0
83c353fffffffff,1.0,0.0,0.0
83c354fffffffff,46.0,0.0,0.0
83c355fffffffff,12.0,0.0,0.0
83c356fffffffff,66.0,0.0,0.0
83c35afffffffff,1.0,0.0,0.0
83c360fffffffff,13.0,0.0,0.0
83c363fffffffff,1.0,0.0,0.0
83c364fffffffff,16.0,0.0,0.0
83c366fffffffff,14.0,0.0,0.0
83c368fffffffff,2.0,0.0,0.0
83c36afffffffff,22.0,0.0,0.0
83c36bfffffffff,6.0,0.0,0.0
83c36cfffffffff,5.0,0.0,0.0
83c36dfffffffff,10.0,0.0,0.0
83c36efffffffff,8.0,0.0,0.0
83c370fffffffff,33.0,0.0,0.0
83c371fffffffff,44.0,0.0,0.0
83c373fffffffff,50.0,0.0,0.0
83c374fffffffff,2.0,0.0,0.0
83c375fffffffff,20.0,0.0,0.0
83c376fffffffff,29.0,0.0,0.0
83ce90fffffffff,2.0,0.0,0.0
83ce91fffffffff,5.0,0.0,0.0
83ce92fffffffff,3.0,0.0,0.0
83ce93fffffffff,105.0,0.0,0.0
83ce96fffffffff,4.0,0.0,0.0
