cell_id,Symposiachrus trivirgatus,Symposiachrus trivirgatus [trivirgatus Group],Symposiachrus trivirgatus gouldii/melanorrhous
829407fffffffff,3.0,0.0,0.0
829427fffffffff,9.0,3.0,0.0
82942ffffffffff,53.0,36.0,0.0
82951ffffffffff,5.0,3.0,0.0
829557fffffffff,20.0,4.0,0.0
82955ffffffffff,14.0,2.0,0.0
8295affffffffff,43.0,32.0,0.0
829c07fffffffff,589.0,14.0,26.0
829c0ffffffffff,2.0,0.0,0.0
829c1ffffffffff,565.0,67.0,2.0
829c27fffffffff,4430.0,60.0,192.0
829cc7fffffffff,1.0,0.0,0.0
829cd7fffffffff,1.0,0.0,0.0
829cf7fffffffff,49.0,9.0,0.0
829d07fffffffff,46.0,1.0,3.0
829d0ffffffffff,241.0,0.0,6.0
829d27fffffffff,120.0,0.0,7.0
829d2ffffffffff,2.0,0.0,0.0
82be0ffffffffff,3.0,0.0,0.0
82be1ffffffffff,306.0,0.0,40.0
82be8ffffffffff,2053.0,0.0,141.0
82beaffffffffff,646.0,0.0,37.0
82bef7fffffffff,158.0,0.0,2.0
