cell_id,Xiphorhynchus erythropygius,Xiphorhynchus erythropygius erythropygius/parvus,Xiphorhynchus erythropygius [aequatorialis Group]
8445253ffffffff,1.0,1.0,0.0
8449903ffffffff,4.0,0.0,0.0
844990bffffffff,4.0,0.0,0.0
844990dffffffff,2.0,0.0,0.0
8449963ffffffff,1.0,0.0,0.0
8449b19ffffffff,6.0,0.0,0.0
8466165ffffffff,41.0,0.0,0.0
84661b9ffffffff,3.0,0.0,0.0
8466a01ffffffff,6.0,0.0,0.0
8466a05ffffffff,6.0,0.0,0.0
8466a0bffffffff,4.0,0.0,0.0
8466a2dffffffff,1.0,0.0,0.0
8466a57ffffffff,3.0,0.0,0.0
8466a59ffffffff,4.0,0.0,0.0
8466b49ffffffff,11.0,0.0,0.0
8466b4bffffffff,3.0,0.0,0.0
8466b51ffffffff,3.0,0.0,0.0
8466b5bffffffff,9.0,0.0,0.0
8466d0bffffffff,6.0,0.0,0.0
8466d35ffffffff,1.0,0.0,1.0
84679b7ffffffff,6.0,0.0,0.0
846d21bffffffff,2.0,2.0,0.0
846d291ffffffff,3.0,0.0,0.0
846d2b9ffffffff,1.0,0.0,0.0
846d2d3ffffffff,9.0,9.0,0.0
846d305ffffffff,1.0,1.0,0.0
846d307ffffffff,2.0,0.0,0.0
846d693ffffffff,10.0,0.0,0.0
846d697ffffffff,2.0,0.0,0.0
846d69bffffffff,3.0,0.0,3.0
846d69dffffffff,6.0,0.0,3.0
846d749ffffffff,4.0,0.0,0.0
848f0d1ffffffff,2.0,0.0,2.0
848f2a9ffffffff,5.0,0.0,0.0
