cell_id,Carpodacus rubicilla,Carpodacus rubicilla rubicilla,Carpodacus rubicilla [severtzovi Group]
82204ffffffffff,2.0,0.0,0.0
822087fffffffff,3.0,0.0,0.0
82208ffffffffff,9.0,0.0,1.0
822407fffffffff,4.0,0.0,0.0
82240ffffffffff,3.0,0.0,0.0
822487fffffffff,2.0,0.0,0.0
82248ffffffffff,8.0,0.0,0.0
822497fffffffff,9.0,0.0,1.0
82249ffffffffff,7.0,0.0,2.0
822517fffffffff,10.0,0.0,4.0
8225affffffffff,2.0,0.0,0.0
822c0ffffffffff,1.0,0.0,0.0
822c2ffffffffff,203.0,69.0,0.0
822d57fffffffff,10.0,0.0,0.0
823c07fffffffff,21.0,0.0,3.0
823c0ffffffffff,79.0,0.0,4.0
823c37fffffffff,12.0,1.0,0.0
823c67fffffffff,5.0,0.0,2.0
823c6ffffffffff,10.0,0.0,0.0
823c77fffffffff,4.0,0.0,1.0
823d07fffffffff,601.0,0.0,0.0
823d17fffffffff,3.0,0.0,0.0
823d1ffffffffff,1.0,0.0,0.0
823d27fffffffff,51.0,0.0,0.0
823d37fffffffff,10.0,0.0,0.0
823d4ffffffffff,5.0,0.0,4.0
823d5ffffffffff,2.0,0.0,0.0
