cell_id,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota [pyrrhonota Group],Petrochelidon pyrrhonota melanogaster
820c07fffffffff,14.0,0.0,0.0
820c0ffffffffff,2.0,0.0,0.0
820c17fffffffff,1528.0,0.0,0.0
820c1ffffffffff,44.0,0.0,0.0
820c2ffffffffff,35.0,4.0,0.0
820c37fffffffff,250.0,0.0,0.0
820c47fffffffff,97.0,0.0,0.0
820c57fffffffff,117.0,0.0,0.0
820c67fffffffff,358.0,18.0,0.0
820c6ffffffffff,2.0,0.0,0.0
820c77fffffffff,1050.0,54.0,0.0
820ce7fffffffff,4.0,0.0,0.0
820ceffffffffff,1.0,0.0,0.0
820cf7fffffffff,2.0,0.0,0.0
820d07fffffffff,45.0,0.0,0.0
820d0ffffffffff,15.0,0.0,0.0
820d1ffffffffff,2.0,0.0,0.0
820d47fffffffff,24.0,0.0,0.0
820d4ffffffffff,195.0,2.0,0.0
820d57fffffffff,165.0,0.0,0.0
820d5ffffffffff,448.0,17.0,0.0
820d67fffffffff,52.0,0.0,0.0
820d6ffffffffff,24.0,0.0,0.0
820d77fffffffff,26.0,0.0,0.0
820e4ffffffffff,44.0,0.0,0.0
820e5ffffffffff,4.0,0.0,0.0
820e9ffffffffff,6.0,0.0,0.0
820ec7fffffffff,1.0,0.0,0.0
820ecffffffffff,228.0,25.0,0.0
820ed7fffffffff,1.0,0.0,0.0
820edffffffffff,14.0,0.0,0.0
820ee7fffffffff,1.0,0.0,0.0
820eeffffffffff,109.0,0.0,0.0
820ef7fffffffff,3.0,0.0,0.0
820f57fffffffff,1.0,0.0,0.0
82120ffffffffff,2.0,0.0,0.0
821217fffffffff,83.0,0.0,0.0
82121ffffffffff,80.0,0.0,0.0
821227fffffffff,3.0,0.0,0.0
82122ffffffffff,13.0,0.0,0.0
821237fffffffff,6.0,0.0,0.0
821247fffffffff,4.0,0.0,0.0
82124ffffffffff,12.0,0.0,0.0
821257fffffffff,195.0,16.0,0.0
82125ffffffffff,130.0,3.0,0.0
821267fffffffff,3.0,0.0,0.0
821277fffffffff,92.0,0.0,0.0
821287fffffffff,30.0,0.0,0.0
82128ffffffffff,168.0,0.0,0.0
82129ffffffffff,5.0,0.0,0.0
8212a7fffffffff,5.0,0.0,0.0
8212affffffffff,116.0,2.0,0.0
8212b7fffffffff,3.0,0.0,0.0
8212c7fffffffff,1563.0,6.0,0.0
8212cffffffffff,4340.0,34.0,0.0
8212d7fffffffff,1186.0,6.0,0.0
8212dffffffffff,2952.0,18.0,0.0
8212e7fffffffff,106.0,0.0,0.0
8212effffffffff,950.0,16.0,0.0
8212f7fffffffff,198.0,5.0,0.0
821307fffffffff,11.0,0.0,0.0
821317fffffffff,5.0,0.0,0.0
82132ffffffffff,16.0,0.0,0.0
821357fffffffff,129.0,0.0,0.0
821387fffffffff,729.0,0.0,0.0
82138ffffffffff,355.0,0.0,0.0
821397fffffffff,65.0,0.0,0.0
82139ffffffffff,36.0,0.0,0.0
8213a7fffffffff,20.0,0.0,0.0
8213affffffffff,6.0,0.0,0.0
8213b7fffffffff,199.0,0.0,0.0
8222d7fffffffff,8.0,0.0,0.0
822607fffffffff,1516.0,206.0,0.0
82260ffffffffff,2592.0,106.0,0.0
822617fffffffff,2037.0,85.0,0.0
82261ffffffffff,909.0,90.0,0.0
822627fffffffff,3521.0,97.0,0.0
82262ffffffffff,3678.0,56.0,0.0
822637fffffffff,1771.0,150.0,0.0
822647fffffffff,4179.0,211.0,0.0
82264ffffffffff,3785.0,42.0,0.0
822657fffffffff,5468.0,57.0,0.0
82265ffffffffff,2327.0,32.0,0.0
822667fffffffff,4557.0,276.0,0.0
82266ffffffffff,2281.0,43.0,0.0
822677fffffffff,2946.0,118.0,0.0
822687fffffffff,10226.0,162.0,0.0
82268ffffffffff,14744.0,28.0,0.0
822697fffffffff,10139.0,2036.0,0.0
82269ffffffffff,4013.0,23.0,0.0
8226a7fffffffff,1084.0,60.0,0.0
8226affffffffff,7677.0,81.0,0.0
8226b7fffffffff,1759.0,67.0,0.0
8226c7fffffffff,2794.0,59.0,0.0
8226cffffffffff,6765.0,20.0,0.0
8226d7fffffffff,1612.0,14.0,0.0
8226dffffffffff,2403.0,15.0,0.0
8226e7fffffffff,6034.0,63.0,0.0
8226effffffffff,2195.0,22.0,0.0
8226f7fffffffff,3046.0,12.0,0.0
822707fffffffff,1048.0,0.0,0.0
82270ffffffffff,790.0,35.0,0.0
822717fffffffff,911.0,0.0,0.0
82271ffffffffff,1873.0,47.0,0.0
82272ffffffffff,6.0,0.0,0.0
822747fffffffff,1560.0,5.0,0.0
82274ffffffffff,4524.0,0.0,0.0
822757fffffffff,3189.0,146.0,0.0
82275ffffffffff,8259.0,168.0,0.0
822767fffffffff,504.0,6.0,0.0
82276ffffffffff,1529.0,98.0,0.0
822777fffffffff,144.0,12.0,0.0
822787fffffffff,1473.0,75.0,0.0
82278ffffffffff,1635.0,118.0,0.0
822797fffffffff,1833.0,42.0,0.0
82279ffffffffff,1657.0,101.0,0.0
8227a7fffffffff,348.0,0.0,0.0
8227affffffffff,2441.0,120.0,0.0
8227b7fffffffff,1266.0,24.0,0.0
822807fffffffff,3169.0,202.0,0.0
822817fffffffff,7737.0,112.0,0.0
82281ffffffffff,5122.0,175.0,0.0
822837fffffffff,40241.0,1513.0,0.0
822887fffffffff,5162.0,257.0,0.0
82288ffffffffff,9504.0,201.0,0.0
822897fffffffff,4670.0,207.0,0.0
82289ffffffffff,1834.0,26.0,0.0
8228a7fffffffff,621.0,41.0,0.0
8228affffffffff,8990.0,235.0,0.0
8228b7fffffffff,4345.0,402.0,0.0
8228c7fffffffff,1749.0,25.0,0.0
8228cffffffffff,12.0,0.0,0.0
8228d7fffffffff,12375.0,100.0,0.0
8228dffffffffff,2103.0,2.0,0.0
8228f7fffffffff,11854.0,168.0,0.0
822917fffffffff,4132.0,99.0,0.0
82291ffffffffff,1442.0,435.0,0.0
822987fffffffff,1332.0,27.0,0.0
82298ffffffffff,6725.0,233.0,0.0
822997fffffffff,1277.0,65.0,0.0
82299ffffffffff,552.0,38.0,0.0
8229a7fffffffff,31576.0,799.0,0.0
8229affffffffff,10106.0,304.0,0.0
8229b7fffffffff,3285.0,274.0,0.0
822a17fffffffff,3695.0,126.0,0.0
822a27fffffffff,2.0,0.0,0.0
822a37fffffffff,2159.0,38.0,0.0
822a4ffffffffff,56.0,0.0,0.0
822a87fffffffff,2664.0,99.0,0.0
822a8ffffffffff,2776.0,45.0,0.0
822a97fffffffff,4381.0,235.0,0.0
822a9ffffffffff,1091.0,16.0,0.0
822aa7fffffffff,3345.0,282.0,0.0
822aaffffffffff,4629.0,215.0,0.0
822ab7fffffffff,12658.0,662.0,0.0
822ad7fffffffff,464.0,6.0,0.0
822af7fffffffff,139.0,8.0,0.0
822b07fffffffff,521.0,3.0,0.0
822b0ffffffffff,69.0,0.0,0.0
822b17fffffffff,2538.0,56.0,0.0
822b1ffffffffff,1048.0,3.0,0.0
822b27fffffffff,9.0,0.0,0.0
822b2ffffffffff,96.0,2.0,0.0
822b37fffffffff,883.0,4.0,0.0
822b87fffffffff,1754.0,94.0,0.0
822b8ffffffffff,2038.0,119.0,0.0
822b97fffffffff,370.0,7.0,0.0
822b9ffffffffff,7093.0,520.0,0.0
822ba7fffffffff,609.0,0.0,0.0
822baffffffffff,8080.0,53.0,0.0
822bb7fffffffff,231.0,0.0,0.0
824417fffffffff,1584.0,14.0,0.0
82441ffffffffff,224.0,1.0,0.0
824427fffffffff,3.0,0.0,0.0
824447fffffffff,2875.0,0.0,0.0
82444ffffffffff,1745.0,19.0,0.0
824457fffffffff,3189.0,51.0,0.0
82445ffffffffff,937.0,42.0,0.0
824467fffffffff,407.0,0.0,0.0
82446ffffffffff,10772.0,283.0,0.0
824477fffffffff,499.0,0.0,0.0
824487fffffffff,13.0,0.0,0.0
8244a7fffffffff,157.0,8.0,0.0
8244affffffffff,694.0,12.0,0.0
8244c7fffffffff,1637.0,59.0,0.0
8244cffffffffff,2944.0,25.0,0.0
