cell_id,Poliocrania exsul,Poliocrania exsul [exsul Group],Poliocrania exsul maculifer/cassini
824537fffffffff,24.0,0.0,0.0
826607fffffffff,10.0,0.0,0.0
82660ffffffffff,771.0,0.0,7.0
826617fffffffff,2631.0,0.0,0.0
82661ffffffffff,2124.0,0.0,5.0
8266a7fffffffff,6704.0,0.0,0.0
8266affffffffff,13.0,0.0,0.0
8266b7fffffffff,7481.0,0.0,0.0
8266d7fffffffff,2726.0,0.0,192.0
8266e7fffffffff,3.0,0.0,0.0
8266f7fffffffff,1738.0,0.0,37.0
826797fffffffff,17.0,0.0,0.0
82679ffffffffff,2979.0,0.0,0.0
826d6ffffffffff,8775.0,0.0,0.0
828f0ffffffffff,486.0,0.0,0.0
828f27fffffffff,6.0,0.0,0.0
828f2ffffffffff,443.0,0.0,2.0
828f77fffffffff,1.0,0.0,0.0
