cell_id,Amblycercus holosericeus,Amblycercus holosericeus holosericeus/flavirostris,Amblycercus holosericeus australis
82450ffffffffff,7.0,2.0,0.0
824527fffffffff,16.0,6.0,0.0
82452ffffffffff,8.0,5.0,0.0
824997fffffffff,3.0,0.0,0.0
82660ffffffffff,2.0,0.0,0.0
82661ffffffffff,2.0,0.0,0.0
82662ffffffffff,1.0,0.0,0.0
8266a7fffffffff,7.0,0.0,0.0
8266b7fffffffff,8.0,4.0,0.0
8266d7fffffffff,28.0,5.0,0.0
82674ffffffffff,1.0,0.0,0.0
826d07fffffffff,3.0,0.0,0.0
826d27fffffffff,7.0,2.0,0.0
826d2ffffffffff,12.0,10.0,0.0
826d37fffffffff,8.0,2.0,0.0
826d6ffffffffff,38.0,2.0,0.0
828f2ffffffffff,6.0,0.0,0.0
828f77fffffffff,2.0,0.0,0.0
