cell_id,Sclerurus mexicanus,Sclerurus mexicanus mexicanus,Sclerurus mexicanus pullus
84452e5ffffffff,11.0,0.0,0.0
8449903ffffffff,4.0,0.0,0.0
8449963ffffffff,3.0,1.0,0.0
8466a57ffffffff,4.0,0.0,0.0
8466b5bffffffff,2.0,0.0,0.0
84679a5ffffffff,2.0,0.0,0.0
846d05bffffffff,2.0,0.0,0.0
846d23dffffffff,2.0,0.0,0.0
846d305ffffffff,1.0,1.0,0.0
846d30dffffffff,5.0,0.0,0.0
846d36dffffffff,2.0,0.0,0.0
846d64dffffffff,3.0,0.0,0.0
846d659ffffffff,2.0,0.0,0.0
846d691ffffffff,16.0,0.0,0.0
846d699ffffffff,3.0,0.0,3.0
846d69dffffffff,5.0,0.0,5.0
