cell_id,Turdus assimilis,Turdus assimilis [assimilis Group],Turdus assimilis daguae
834505fffffffff,6.0,0.0,0.0
834520fffffffff,2.0,0.0,0.0
834524fffffffff,19.0,0.0,0.0
834525fffffffff,7.0,0.0,0.0
834526fffffffff,5.0,0.0,0.0
83452efffffffff,51.0,0.0,0.0
834833fffffffff,1.0,0.0,0.0
834836fffffffff,8.0,0.0,0.0
8348b1fffffffff,4.0,0.0,0.0
8348b3fffffffff,195.0,11.0,0.0
8348e8fffffffff,269.0,12.0,0.0
834982fffffffff,11.0,0.0,0.0
834990fffffffff,7.0,0.0,0.0
834994fffffffff,1.0,0.0,0.0
834995fffffffff,12.0,0.0,0.0
834996fffffffff,19.0,7.0,0.0
83499cfffffffff,7.0,0.0,0.0
8349a2fffffffff,8.0,0.0,0.0
8349a8fffffffff,3.0,0.0,0.0
836684fffffffff,7.0,0.0,0.0
8366a3fffffffff,6.0,6.0,0.0
8366a5fffffffff,7.0,0.0,0.0
8366b0fffffffff,1.0,1.0,0.0
8366b4fffffffff,2.0,2.0,0.0
8366b5fffffffff,9.0,0.0,0.0
8366d3fffffffff,9.0,0.0,9.0
836d04fffffffff,2.0,0.0,0.0
836d21fffffffff,3.0,0.0,0.0
836d22fffffffff,6.0,0.0,0.0
836d23fffffffff,2.0,0.0,0.0
836d29fffffffff,10.0,0.0,0.0
836d2afffffffff,2.0,0.0,0.0
836d2bfffffffff,3.0,0.0,0.0
836d2cfffffffff,1.0,0.0,0.0
836d31fffffffff,7.0,0.0,0.0
836d32fffffffff,8.0,0.0,0.0
836d33fffffffff,9.0,2.0,0.0
836d34fffffffff,2.0,2.0,0.0
836d35fffffffff,6.0,1.0,0.0
836d60fffffffff,37.0,0.0,0.0
836d64fffffffff,2.0,0.0,0.0
836d65fffffffff,2.0,0.0,0.0
836d69fffffffff,60.0,57.0,0.0
836d6cfffffffff,1.0,0.0,0.0
838f2afffffffff,4.0,0.0,4.0
