cell_id,Melanerpes formicivorus,Melanerpes formicivorus [formicivorus Group],Melanerpes formicivorus angustifrons
82268ffffffffff,1.0,0.0,0.0
822807fffffffff,2941.0,0.0,0.0
822817fffffffff,7764.0,0.0,0.0
82281ffffffffff,10230.0,0.0,0.0
822837fffffffff,92361.0,672.0,0.0
8228affffffffff,1.0,0.0,0.0
8228f7fffffffff,6788.0,0.0,0.0
822917fffffffff,13120.0,0.0,0.0
82291ffffffffff,7208.0,0.0,0.0
822987fffffffff,11.0,0.0,0.0
82298ffffffffff,1372.0,0.0,0.0
822997fffffffff,178.0,4.0,0.0
8229a7fffffffff,59673.0,1.0,0.0
8229affffffffff,22528.0,0.0,0.0
8229b7fffffffff,3223.0,143.0,0.0
824507fffffffff,205.0,2.0,0.0
824527fffffffff,3407.0,33.0,0.0
82452ffffffffff,5235.0,270.0,0.0
824537fffffffff,584.0,0.0,0.0
824807fffffffff,5.0,0.0,0.0
82480ffffffffff,151.0,1.0,0.0
824817fffffffff,554.0,0.0,0.0
82481ffffffffff,183.0,15.0,0.0
824827fffffffff,2.0,0.0,0.0
82482ffffffffff,724.0,0.0,461.0
824837fffffffff,959.0,34.0,0.0
82484ffffffffff,103.0,4.0,0.0
82485ffffffffff,848.0,2.0,0.0
82488ffffffffff,64.0,0.0,0.0
8248a7fffffffff,1471.0,0.0,0.0
8248affffffffff,2761.0,0.0,0.0
8248b7fffffffff,4.0,0.0,0.0
8248c7fffffffff,26632.0,1906.0,0.0
8248cffffffffff,4960.0,411.0,0.0
8248d7fffffffff,867.0,0.0,0.0
8248dffffffffff,5033.0,0.0,0.0
8248e7fffffffff,705.0,53.0,0.0
8248effffffffff,61681.0,1294.0,0.0
8248f7fffffffff,6269.0,2.0,0.0
824987fffffffff,1143.0,76.0,0.0
82498ffffffffff,219.0,0.0,0.0
824997fffffffff,4646.0,1177.0,0.0
82499ffffffffff,362.0,0.0,0.0
8249a7fffffffff,2.0,0.0,0.0
8249affffffffff,1865.0,75.0,0.0
8249b7fffffffff,832.0,4.0,0.0
82660ffffffffff,516.0,0.0,0.0
82661ffffffffff,6515.0,88.0,0.0
8266a7fffffffff,198.0,0.0,0.0
8266b7fffffffff,12490.0,0.0,0.0
8266c7fffffffff,1434.0,22.0,0.0
8266d7fffffffff,30.0,2.0,0.0
8266e7fffffffff,4595.0,99.0,0.0
8266f7fffffffff,3849.0,79.0,0.0
826797fffffffff,19.0,0.0,0.0
82679ffffffffff,2.0,0.0,0.0
826d07fffffffff,75.0,8.0,0.0
826d17fffffffff,114.0,8.0,0.0
826d27fffffffff,870.0,202.0,0.0
826d2ffffffffff,6091.0,933.0,0.0
826d37fffffffff,751.0,61.0,0.0
826d67fffffffff,3270.0,0.0,0.0
826d6ffffffffff,576.0,0.0,0.0
