cell_id,Aplopelia larvata,Aplopelia larvata inornata,Aplopelia larvata principalis,Aplopelia larvata simplex,Aplopelia larvata larvata/bronzina
835283fffffffff,1.0,0.0,0.0,0.0,0.0
83529bfffffffff,25.0,0.0,0.0,0.0,0.0
8358c3fffffffff,3.0,0.0,0.0,0.0,0.0
8358d2fffffffff,2.0,0.0,0.0,0.0,0.0
8358d3fffffffff,16.0,14.0,0.0,0.0,0.0
836a4cfffffffff,1.0,0.0,0.0,0.0,0.0
836a68fffffffff,1.0,0.0,0.0,0.0,0.0
836a69fffffffff,2.0,0.0,0.0,0.0,0.0
836a6bfffffffff,2.0,0.0,0.0,0.0,0.0
836ac0fffffffff,2.0,0.0,0.0,0.0,0.0
836ac1fffffffff,3.0,0.0,0.0,0.0,0.0
836ac3fffffffff,2.0,0.0,0.0,0.0,0.0
836acafffffffff,3.0,0.0,0.0,0.0,0.0
836adcfffffffff,15.0,0.0,0.0,0.0,0.0
836adefffffffff,16.0,0.0,0.0,0.0,0.0
8375a0fffffffff,1.0,0.0,0.0,0.0,0.0
8375a3fffffffff,3.0,0.0,0.0,0.0,0.0
837a40fffffffff,1.0,0.0,0.0,0.0,0.0
837a45fffffffff,35.0,0.0,0.0,0.0,0.0
837a48fffffffff,2.0,0.0,0.0,0.0,0.0
837a4cfffffffff,9.0,0.0,0.0,0.0,0.0
837a61fffffffff,1.0,0.0,0.0,0.0,0.0
837a64fffffffff,15.0,0.0,0.0,0.0,0.0
837a65fffffffff,6.0,0.0,0.0,0.0,0.0
837a68fffffffff,2.0,0.0,0.0,0.0,0.0
837a6dfffffffff,2.0,0.0,0.0,0.0,0.0
837a6efffffffff,34.0,0.0,0.0,0.0,0.0
837ac8fffffffff,70.0,0.0,0.0,0.0,0.0
837acbfffffffff,4.0,0.0,0.0,0.0,0.0
837accfffffffff,9.0,0.0,0.0,0.0,0.0
837acdfffffffff,54.0,0.0,0.0,0.0,0.0
837ae8fffffffff,3.0,0.0,0.0,0.0,0.0
837aebfffffffff,1.0,0.0,0.0,0.0,0.0
837b48fffffffff,10.0,0.0,0.0,0.0,0.0
837b4bfffffffff,12.0,0.0,0.0,0.0,0.0
83828bfffffffff,2.0,0.0,0.0,0.0,0.0
83828dfffffffff,96.0,20.0,0.0,0.0,0.0
8382abfffffffff,4.0,2.0,0.0,0.0,0.0
8382c0fffffffff,32.0,0.0,13.0,0.0,0.0
8382c4fffffffff,2.0,0.0,2.0,0.0,0.0
8382c6fffffffff,9.0,0.0,3.0,0.0,0.0
8382d0fffffffff,4.0,3.0,0.0,0.0,0.0
8382d1fffffffff,9.0,1.0,0.0,0.0,0.0
8382d3fffffffff,1.0,1.0,0.0,0.0,0.0
8382e3fffffffff,103.0,0.0,0.0,65.0,0.0
839609fffffffff,6.0,0.0,0.0,0.0,2.0
83960bfffffffff,2.0,0.0,0.0,0.0,1.0
839633fffffffff,1.0,0.0,0.0,0.0,0.0
839656fffffffff,1.0,0.0,0.0,0.0,1.0
839690fffffffff,1.0,0.0,0.0,0.0,0.0
839692fffffffff,49.0,0.0,0.0,0.0,0.0
839693fffffffff,21.0,0.0,0.0,0.0,0.0
8396a0fffffffff,2.0,0.0,0.0,0.0,0.0
8396a5fffffffff,4.0,0.0,0.0,0.0,0.0
8396b0fffffffff,24.0,0.0,0.0,0.0,0.0
8396b1fffffffff,1.0,0.0,0.0,0.0,0.0
8396b2fffffffff,1.0,0.0,0.0,0.0,0.0
8396b6fffffffff,2.0,0.0,0.0,0.0,0.0
839702fffffffff,1.0,0.0,0.0,0.0,0.0
839703fffffffff,31.0,0.0,0.0,0.0,12.0
83971cfffffffff,17.0,0.0,0.0,0.0,1.0
83972dfffffffff,87.0,0.0,0.0,0.0,26.0
83978afffffffff,2.0,0.0,0.0,0.0,0.0
83978efffffffff,14.0,0.0,0.0,0.0,0.0
8397a8fffffffff,5.0,0.0,0.0,0.0,0.0
83ad36fffffffff,196.0,0.0,0.0,0.0,28.0
83bc09fffffffff,4.0,0.0,0.0,0.0,0.0
83bc0bfffffffff,1.0,0.0,0.0,0.0,0.0
83bc19fffffffff,12.0,0.0,0.0,0.0,4.0
83bc1bfffffffff,6.0,0.0,0.0,0.0,0.0
83bc40fffffffff,2.0,0.0,0.0,0.0,0.0
83bc44fffffffff,16.0,0.0,0.0,0.0,5.0
83bc45fffffffff,108.0,0.0,0.0,0.0,28.0
83bc46fffffffff,3.0,0.0,0.0,0.0,0.0
83bc54fffffffff,7.0,0.0,0.0,0.0,0.0
83bc69fffffffff,6.0,0.0,0.0,0.0,1.0
83bc6afffffffff,29.0,0.0,0.0,0.0,8.0
83bc73fffffffff,3.0,0.0,0.0,0.0,0.0
83bc89fffffffff,2.0,0.0,0.0,0.0,0.0
83bcc4fffffffff,3.0,0.0,0.0,0.0,0.0
83bcd0fffffffff,40.0,0.0,0.0,0.0,4.0
83bcd3fffffffff,7.0,0.0,0.0,0.0,1.0
83bce2fffffffff,6.0,0.0,0.0,0.0,0.0
83bce6fffffffff,18.0,0.0,0.0,0.0,5.0
83bcf0fffffffff,145.0,0.0,0.0,0.0,33.0
83bcf2fffffffff,1.0,0.0,0.0,0.0,0.0
83bcf4fffffffff,16.0,0.0,0.0,0.0,5.0
83bcf5fffffffff,42.0,0.0,0.0,0.0,18.0
83bcf6fffffffff,62.0,0.0,0.0,0.0,20.0
