cell_id,Automolus ochrolaemus,Automolus ochrolaemus pallidigularis,Automolus ochrolaemus turdinus,Automolus ochrolaemus ochrolaemus,Automolus ochrolaemus auricularis
825f07fffffffff,16.0,0.0,0.0,0.0,0.0
825f17fffffffff,11.0,0.0,0.0,0.0,0.0
825f2ffffffffff,24.0,0.0,0.0,0.0,0.0
825f37fffffffff,1.0,0.0,0.0,0.0,0.0
825f47fffffffff,5.0,0.0,0.0,0.0,0.0
825f57fffffffff,10.0,0.0,0.0,0.0,0.0
825f6ffffffffff,2.0,0.0,0.0,0.0,0.0
825f77fffffffff,29.0,0.0,0.0,0.0,0.0
826607fffffffff,1.0,0.0,0.0,0.0,0.0
82660ffffffffff,84.0,0.0,0.0,0.0,0.0
826617fffffffff,236.0,30.0,0.0,0.0,0.0
82661ffffffffff,145.0,0.0,0.0,0.0,0.0
826647fffffffff,11.0,0.0,0.0,0.0,0.0
82664ffffffffff,2.0,0.0,0.0,0.0,0.0
82665ffffffffff,62.0,0.0,0.0,0.0,0.0
826667fffffffff,3.0,0.0,0.0,0.0,0.0
82666ffffffffff,22.0,0.0,0.0,0.0,0.0
8266a7fffffffff,89.0,4.0,0.0,0.0,0.0
8266c7fffffffff,134.0,0.0,0.0,0.0,0.0
8266cffffffffff,26.0,0.0,0.0,0.0,0.0
8266d7fffffffff,53.0,0.0,0.0,0.0,0.0
8266dffffffffff,89.0,0.0,5.0,0.0,0.0
8266e7fffffffff,305.0,0.0,0.0,0.0,0.0
8266effffffffff,128.0,0.0,0.0,0.0,0.0
8266f7fffffffff,49.0,0.0,0.0,0.0,0.0
82804ffffffffff,15.0,0.0,0.0,0.0,0.0
82814ffffffffff,10.0,0.0,0.0,0.0,0.0
828a07fffffffff,90.0,0.0,0.0,0.0,0.0
828a17fffffffff,38.0,0.0,0.0,0.0,0.0
828a27fffffffff,3.0,0.0,0.0,0.0,0.0
828a2ffffffffff,3.0,0.0,0.0,0.0,0.0
828a37fffffffff,12.0,0.0,0.0,0.0,0.0
828a47fffffffff,16.0,0.0,0.0,0.0,0.0
828a4ffffffffff,2.0,0.0,0.0,0.0,0.0
828a6ffffffffff,21.0,0.0,0.0,0.0,0.0
828a77fffffffff,5.0,0.0,0.0,0.0,0.0
828a87fffffffff,39.0,0.0,0.0,0.0,0.0
828aaffffffffff,47.0,0.0,0.0,0.0,0.0
828adffffffffff,18.0,0.0,0.0,0.0,0.0
828af7fffffffff,303.0,0.0,0.0,0.0,0.0
828b0ffffffffff,2.0,0.0,0.0,0.0,0.0
828b27fffffffff,11.0,0.0,0.0,0.0,0.0
828b2ffffffffff,17.0,0.0,0.0,0.0,0.0
828b47fffffffff,437.0,0.0,0.0,20.0,0.0
828b4ffffffffff,23.0,0.0,0.0,0.0,0.0
828b57fffffffff,27.0,0.0,0.0,0.0,0.0
828b5ffffffffff,18.0,0.0,0.0,0.0,0.0
828b67fffffffff,372.0,0.0,0.0,10.0,0.0
828b6ffffffffff,96.0,0.0,0.0,2.0,0.0
828b77fffffffff,107.0,0.0,0.0,0.0,0.0
828b87fffffffff,1.0,0.0,0.0,0.0,0.0
828b8ffffffffff,6.0,0.0,0.0,0.0,0.0
828b9ffffffffff,131.0,0.0,0.0,0.0,0.0
828baffffffffff,1.0,0.0,0.0,0.0,0.0
828e67fffffffff,43.0,0.0,0.0,0.0,0.0
828f2ffffffffff,253.0,20.0,0.0,0.0,0.0
828f47fffffffff,381.0,0.0,0.0,6.0,0.0
828f4ffffffffff,63.0,0.0,0.0,0.0,0.0
828f5ffffffffff,54.0,0.0,0.0,0.0,0.0
828f67fffffffff,170.0,0.0,0.0,0.0,0.0
828f6ffffffffff,9.0,0.0,0.0,0.0,0.0
828f77fffffffff,46.0,0.0,0.0,0.0,0.0
82a8cffffffffff,1.0,0.0,0.0,0.0,0.0
82b327fffffffff,14.0,0.0,0.0,0.0,0.0
