cell_id,Cypsiurus gracilis,Cypsiurus gracilis griveaudi,Cypsiurus gracilis gracilis
82a207fffffffff,4.0,0.0,2.0
82a217fffffffff,339.0,0.0,152.0
82a227fffffffff,57.0,0.0,26.0
82a237fffffffff,183.0,0.0,94.0
82a2a7fffffffff,89.0,0.0,29.0
82a2affffffffff,21.0,0.0,12.0
82a307fffffffff,21.0,7.0,0.0
82a30ffffffffff,89.0,0.0,16.0
82a31ffffffffff,428.0,0.0,180.0
82a327fffffffff,4.0,2.0,0.0
82a337fffffffff,39.0,9.0,0.0
82a357fffffffff,100.0,0.0,38.0
82a377fffffffff,31.0,0.0,8.0
82a38ffffffffff,261.0,0.0,116.0
82a39ffffffffff,54.0,0.0,21.0
82a3affffffffff,20.0,0.0,15.0
