cell_id,Myiozetetes similis,Myiozetetes similis [texensis Group],Myiozetetes similis [similis Group],Myiozetetes similis grandis
824507fffffffff,6.0,0.0,0.0,0.0
82450ffffffffff,6.0,3.0,0.0,0.0
82451ffffffffff,3.0,0.0,0.0,0.0
824527fffffffff,12.0,1.0,0.0,0.0
82452ffffffffff,62.0,45.0,0.0,0.0
824577fffffffff,1.0,0.0,0.0,0.0
82480ffffffffff,1.0,0.0,0.0,0.0
824837fffffffff,11.0,0.0,0.0,0.0
8248b7fffffffff,826.0,48.0,0.0,0.0
824987fffffffff,8.0,3.0,0.0,0.0
82498ffffffffff,2.0,0.0,0.0,0.0
824997fffffffff,103.0,17.0,0.0,0.0
82499ffffffffff,7.0,6.0,0.0,0.0
8249affffffffff,2.0,0.0,0.0,0.0
8249b7fffffffff,7.0,5.0,0.0,0.0
826617fffffffff,318.0,0.0,2.0,0.0
82661ffffffffff,4.0,0.0,0.0,0.0
82662ffffffffff,2.0,0.0,2.0,0.0
826647fffffffff,1.0,0.0,0.0,0.0
826657fffffffff,4.0,0.0,0.0,0.0
8266a7fffffffff,6.0,0.0,0.0,0.0
8266b7fffffffff,36.0,7.0,8.0,0.0
8266d7fffffffff,2.0,0.0,0.0,0.0
8266dffffffffff,6.0,0.0,0.0,0.0
8266f7fffffffff,2.0,0.0,0.0,0.0
82674ffffffffff,51.0,0.0,0.0,0.0
82675ffffffffff,5.0,0.0,2.0,0.0
82679ffffffffff,6.0,0.0,2.0,0.0
826d07fffffffff,7.0,0.0,0.0,0.0
826d17fffffffff,10.0,0.0,0.0,0.0
826d27fffffffff,39.0,19.0,0.0,0.0
826d2ffffffffff,14.0,0.0,0.0,0.0
826d37fffffffff,23.0,1.0,0.0,0.0
826d67fffffffff,6.0,0.0,0.0,0.0
826d6ffffffffff,44.0,5.0,2.0,0.0
828a47fffffffff,1.0,0.0,0.0,0.0
828a6ffffffffff,1.0,0.0,0.0,0.0
828a77fffffffff,2.0,0.0,0.0,0.0
828b27fffffffff,1.0,0.0,0.0,0.0
828b47fffffffff,3.0,0.0,0.0,0.0
828b67fffffffff,4.0,3.0,1.0,0.0
828b6ffffffffff,5.0,0.0,0.0,0.0
828f2ffffffffff,1.0,0.0,0.0,1.0
828f47fffffffff,1.0,0.0,0.0,0.0
828f57fffffffff,2.0,0.0,1.0,1.0
828f77fffffffff,1.0,0.0,1.0,0.0
82a837fffffffff,2.0,0.0,0.0,0.0
82a947fffffffff,3.0,0.0,0.0,0.0
82a94ffffffffff,2.0,0.0,0.0,0.0
