cell_id,Myophonus caeruleus,Myophonus caeruleus caeruleus,Myophonus caeruleus [flavirostris Group]
822017fffffffff,28.0,0.0,5.0
82201ffffffffff,16.0,0.0,0.0
822087fffffffff,13.0,0.0,0.0
82208ffffffffff,5.0,0.0,0.0
82209ffffffffff,214.0,0.0,0.0
8220a7fffffffff,25.0,0.0,0.0
8220affffffffff,24.0,0.0,0.0
8220e7fffffffff,84.0,0.0,42.0
8220f7fffffffff,1.0,0.0,0.0
823017fffffffff,2.0,0.0,0.0
823097fffffffff,20.0,0.0,0.0
82309ffffffffff,4.0,0.0,0.0
823187fffffffff,11.0,0.0,0.0
823197fffffffff,5.0,0.0,0.0
8231affffffffff,44.0,0.0,0.0
823c07fffffffff,1676.0,0.0,270.0
823c0ffffffffff,2488.0,0.0,131.0
823c17fffffffff,16.0,0.0,1.0
823c1ffffffffff,2520.0,0.0,0.0
823c37fffffffff,422.0,0.0,45.0
823c47fffffffff,50.0,0.0,0.0
823c57fffffffff,863.0,0.0,0.0
823c5ffffffffff,1825.0,0.0,0.0
823cc7fffffffff,84.0,0.0,0.0
823ccffffffffff,5.0,0.0,0.0
823cdffffffffff,20.0,2.0,0.0
823ce7fffffffff,1915.0,0.0,126.0
823ceffffffffff,514.0,0.0,0.0
823d07fffffffff,199.0,0.0,0.0
823d17fffffffff,7903.0,0.0,0.0
823d1ffffffffff,2080.0,0.0,0.0
823d27fffffffff,111.0,0.0,0.0
823d37fffffffff,2234.0,0.0,0.0
823daffffffffff,7218.0,0.0,0.0
824007fffffffff,5.0,0.0,0.0
82400ffffffffff,31.0,0.0,0.0
824017fffffffff,9.0,0.0,0.0
82401ffffffffff,7.0,0.0,0.0
824027fffffffff,6.0,0.0,0.0
82402ffffffffff,11.0,10.0,0.0
824037fffffffff,12.0,0.0,0.0
824047fffffffff,38.0,0.0,15.0
82404ffffffffff,417.0,0.0,175.0
824057fffffffff,14.0,8.0,0.0
82405ffffffffff,54.0,0.0,36.0
824067fffffffff,12.0,0.0,5.0
82406ffffffffff,39.0,0.0,13.0
824077fffffffff,18.0,0.0,2.0
824087fffffffff,1.0,0.0,0.0
82408ffffffffff,12.0,0.0,0.0
8240affffffffff,4.0,0.0,0.0
8240b7fffffffff,45.0,0.0,0.0
8240c7fffffffff,42.0,8.0,0.0
8240d7fffffffff,2.0,0.0,0.0
8240e7fffffffff,116.0,27.0,0.0
8240effffffffff,81.0,31.0,0.0
8240f7fffffffff,2.0,0.0,0.0
824107fffffffff,210.0,38.0,0.0
82411ffffffffff,901.0,134.0,0.0
824147fffffffff,44.0,2.0,3.0
82414ffffffffff,30.0,0.0,1.0
82415ffffffffff,45.0,15.0,1.0
824167fffffffff,52.0,0.0,19.0
82416ffffffffff,41.0,0.0,14.0
824177fffffffff,4.0,2.0,0.0
824187fffffffff,31.0,0.0,0.0
82418ffffffffff,2.0,0.0,0.0
824197fffffffff,89.0,1.0,0.0
82419ffffffffff,5.0,0.0,0.0
8241a7fffffffff,1981.0,883.0,0.0
8241affffffffff,4.0,0.0,0.0
8241b7fffffffff,1087.0,117.0,0.0
82426ffffffffff,311.0,0.0,0.0
824b37fffffffff,10.0,0.0,0.0
826417fffffffff,59.0,0.0,19.0
826427fffffffff,34.0,0.0,1.0
826437fffffffff,106.0,0.0,42.0
826487fffffffff,1774.0,467.0,445.0
82648ffffffffff,1.0,0.0,0.0
826497fffffffff,1076.0,338.0,278.0
82649ffffffffff,20.0,2.0,2.0
8264a7fffffffff,239.0,21.0,81.0
8264b7fffffffff,72.0,29.0,16.0
826507fffffffff,42.0,0.0,0.0
82650ffffffffff,8.0,0.0,0.0
82651ffffffffff,23.0,0.0,8.0
826587fffffffff,45.0,0.0,0.0
82658ffffffffff,209.0,0.0,105.0
826597fffffffff,11.0,0.0,3.0
82659ffffffffff,241.0,0.0,105.0
8265b7fffffffff,89.0,0.0,19.0
826937fffffffff,5.0,0.0,0.0
828c17fffffffff,64.0,0.0,0.0
828cd7fffffffff,28.0,0.0,0.0
828d87fffffffff,6.0,0.0,0.0
828d8ffffffffff,4.0,0.0,0.0
828da7fffffffff,5.0,0.0,0.0
