cell_id,Illadopsis cleaveri,Illadopsis cleaveri cleaveri/johnsoni,Illadopsis cleaveri batesi/marchanti,Illadopsis cleaveri poensis
8358d2fffffffff,4.0,0.0,0.0,0.0
8358d3fffffffff,9.0,0.0,0.0,0.0
8358d8fffffffff,1.0,0.0,0.0,0.0
837501fffffffff,1.0,0.0,0.0,0.0
837508fffffffff,118.0,15.0,0.0,0.0
83750dfffffffff,30.0,3.0,0.0,0.0
837518fffffffff,1.0,0.0,0.0,0.0
837529fffffffff,46.0,2.0,0.0,0.0
83752afffffffff,1.0,0.0,0.0,0.0
837586fffffffff,1.0,0.0,0.0,0.0
8375a3fffffffff,3.0,0.0,0.0,0.0
8375a8fffffffff,4.0,0.0,0.0,0.0
8375abfffffffff,1.0,0.0,0.0,0.0
8375b0fffffffff,5.0,0.0,0.0,0.0
838212fffffffff,1.0,0.0,0.0,0.0
838218fffffffff,1.0,0.0,0.0,0.0
838280fffffffff,1.0,0.0,0.0,0.0
838284fffffffff,7.0,0.0,2.0,0.0
83828afffffffff,2.0,0.0,0.0,0.0
83828bfffffffff,4.0,0.0,0.0,0.0
83828dfffffffff,143.0,0.0,0.0,0.0
838290fffffffff,8.0,0.0,0.0,0.0
83829dfffffffff,2.0,0.0,0.0,0.0
8382a8fffffffff,6.0,0.0,0.0,0.0
8382aafffffffff,6.0,0.0,0.0,0.0
8382abfffffffff,8.0,0.0,0.0,0.0
8382b0fffffffff,1.0,0.0,0.0,0.0
8382b1fffffffff,1.0,0.0,0.0,0.0
8382d1fffffffff,10.0,0.0,0.0,7.0
8382d2fffffffff,15.0,0.0,0.0,0.0
8382d3fffffffff,7.0,0.0,0.0,0.0
8382f2fffffffff,1.0,0.0,0.0,0.0
