cell_id,Campephilus haematogaster,Campephilus haematogaster splendens,Campephilus haematogaster haematogaster
8466107ffffffff,4.0,0.0,0.0
8466129ffffffff,4.0,0.0,0.0
8466131ffffffff,35.0,3.0,0.0
8466139ffffffff,86.0,19.0,0.0
846613bffffffff,1.0,0.0,0.0
846613dffffffff,2.0,0.0,0.0
8466165ffffffff,59.0,7.0,0.0
84661a5ffffffff,32.0,0.0,0.0
84661adffffffff,24.0,0.0,0.0
84661bdffffffff,4.0,0.0,0.0
84661c1ffffffff,2.0,0.0,0.0
84661c9ffffffff,5.0,0.0,0.0
84661cdffffffff,23.0,0.0,0.0
84661ebffffffff,20.0,0.0,0.0
8466a01ffffffff,10.0,0.0,0.0
8466a09ffffffff,2.0,0.0,0.0
8466a51ffffffff,13.0,13.0,0.0
8466a55ffffffff,1.0,0.0,0.0
8466a5bffffffff,14.0,4.0,0.0
8466a5dffffffff,4.0,2.0,0.0
8466b5bffffffff,2.0,1.0,0.0
8466c21ffffffff,7.0,0.0,0.0
8466c25ffffffff,5.0,0.0,0.0
8466c2dffffffff,7.0,0.0,0.0
8466d07ffffffff,26.0,6.0,0.0
8466d0bffffffff,86.0,0.0,0.0
8466d1bffffffff,6.0,0.0,0.0
8466d23ffffffff,4.0,0.0,0.0
8466d27ffffffff,1.0,0.0,0.0
8466d31ffffffff,73.0,12.0,0.0
8466d35ffffffff,124.0,14.0,0.0
8466d37ffffffff,19.0,0.0,0.0
8466d39ffffffff,1.0,0.0,0.0
8466d3bffffffff,1.0,0.0,0.0
8466d3dffffffff,7.0,2.0,0.0
8466da7ffffffff,1.0,0.0,0.0
8466da9ffffffff,1.0,0.0,0.0
8466de1ffffffff,83.0,0.0,21.0
8466de9ffffffff,3.0,0.0,0.0
8466f01ffffffff,6.0,0.0,0.0
8466f03ffffffff,42.0,0.0,0.0
8466f0bffffffff,27.0,0.0,0.0
8466f1dffffffff,1.0,0.0,0.0
848b617ffffffff,66.0,0.0,8.0
848b6cdffffffff,21.0,0.0,0.0
848b759ffffffff,2.0,0.0,0.0
848e619ffffffff,1.0,0.0,0.0
848e641ffffffff,7.0,0.0,0.0
848e643ffffffff,5.0,0.0,0.0
848e649ffffffff,11.0,0.0,0.0
848e64bffffffff,11.0,0.0,0.0
848e655ffffffff,1.0,0.0,0.0
848e6cbffffffff,1.0,0.0,0.0
848e6d9ffffffff,2.0,0.0,0.0
848f2c9ffffffff,1.0,0.0,0.0
848f425ffffffff,3.0,0.0,0.0
848f427ffffffff,2.0,0.0,0.0
848f42dffffffff,8.0,0.0,0.0
848f463ffffffff,2.0,0.0,0.0
848f4a3ffffffff,1.0,0.0,0.0
848f509ffffffff,1.0,0.0,0.0
848f541ffffffff,1.0,0.0,0.0
848f549ffffffff,10.0,0.0,0.0
848f54bffffffff,9.0,0.0,0.0
848f54dffffffff,2.0,0.0,0.0
848f559ffffffff,1.0,0.0,0.0
848f55dffffffff,16.0,0.0,0.0
848f5ddffffffff,4.0,0.0,0.0
848f705ffffffff,13.0,0.0,2.0
848f70dffffffff,1.0,0.0,0.0
848f721ffffffff,11.0,0.0,7.0
848f727ffffffff,3.0,0.0,0.0
848f729ffffffff,25.0,0.0,2.0
848f72bffffffff,1.0,0.0,0.0
848f733ffffffff,47.0,0.0,0.0
848f737ffffffff,1.0,0.0,0.0
848f769ffffffff,1.0,0.0,0.0
848f76bffffffff,19.0,0.0,2.0
