cell_id,Zosterops fuscicapilla,Zosterops fuscicapilla fuscicapilla,Zosterops fuscicapilla crookshanki
82728ffffffffff,43.0,0.0,0.0
8272a7fffffffff,324.0,24.0,0.0
8272d7fffffffff,46.0,0.0,0.0
829cb7fffffffff,3.0,0.0,0.0
829cd7fffffffff,49.0,0.0,0.0
