cell_id,Pycnonotus simplex,Pycnonotus simplex simplex/halizonus,Pycnonotus simplex prillwitzi/perplexus
836500fffffffff,61.0,0.0,0.0
836501fffffffff,2.0,0.0,0.0
836502fffffffff,48.0,0.0,0.0
836503fffffffff,52.0,0.0,0.0
836504fffffffff,1.0,0.0,0.0
836505fffffffff,8.0,0.0,0.0
836506fffffffff,2.0,0.0,0.0
836518fffffffff,85.0,0.0,0.0
83651cfffffffff,4.0,0.0,0.0
83651dfffffffff,66.0,0.0,0.0
836520fffffffff,6.0,0.0,0.0
836522fffffffff,2.0,0.0,0.0
836523fffffffff,2.0,0.0,0.0
836526fffffffff,38.0,0.0,0.0
