cell_id,Ortalis guttata,Ortalis guttata guttata/subaffinis,Ortalis guttata remota
836641fffffffff,3.0,3.0,0.0
8366c2fffffffff,1.0,0.0,0.0
8366d8fffffffff,5.0,0.0,0.0
8366dafffffffff,25.0,23.0,0.0
8366dbfffffffff,3.0,0.0,0.0
8366dcfffffffff,6.0,0.0,0.0
8366defffffffff,3.0,3.0,0.0
8366e5fffffffff,9.0,0.0,0.0
8366e8fffffffff,1.0,0.0,0.0
838b22fffffffff,3.0,3.0,0.0
838b5cfffffffff,6.0,6.0,0.0
838b63fffffffff,1.0,1.0,0.0
838b6cfffffffff,2.0,0.0,0.0
838e65fffffffff,2.0,2.0,0.0
838f73fffffffff,1.0,1.0,0.0
83a819fffffffff,142.0,0.0,125.0
83a81bfffffffff,98.0,0.0,85.0
83a8e6fffffffff,37.0,0.0,32.0
