cell_id,Francolinus francolinus,Francolinus francolinus francolinus/arabistanicus,Francolinus francolinus [henrici Group]
84209a5ffffffff,131.0,0.0,0.0
842c0a9ffffffff,9.0,0.0,0.0
842c0b5ffffffff,2.0,0.0,0.0
842c0c1ffffffff,25.0,0.0,0.0
842c0c9ffffffff,12.0,0.0,0.0
842c0cbffffffff,2.0,0.0,0.0
842c123ffffffff,4.0,0.0,0.0
842c129ffffffff,2.0,0.0,0.0
842c163ffffffff,1.0,0.0,0.0
842c193ffffffff,14.0,0.0,0.0
842c1d1ffffffff,3.0,0.0,0.0
842c1ddffffffff,9.0,0.0,0.0
842c32bffffffff,2.0,0.0,0.0
842c32dffffffff,1.0,0.0,0.0
842c365ffffffff,2.0,0.0,0.0
842c831ffffffff,7.0,0.0,0.0
842c833ffffffff,40.0,0.0,0.0
842c835ffffffff,5.0,0.0,0.0
842c837ffffffff,1.0,0.0,0.0
842c8e5ffffffff,3.0,0.0,0.0
842c8edffffffff,5.0,0.0,0.0
842c9c9ffffffff,3.0,0.0,0.0
842c9cbffffffff,3.0,0.0,0.0
842c9d9ffffffff,4.0,0.0,0.0
842c9ddffffffff,2.0,0.0,0.0
842c9e1ffffffff,2.0,0.0,0.0
842ca03ffffffff,3.0,0.0,0.0
842ca13ffffffff,2.0,0.0,0.0
842cac1ffffffff,6.0,0.0,0.0
842cac5ffffffff,2.0,0.0,0.0
842cac9ffffffff,2.0,0.0,0.0
842cacdffffffff,5.0,0.0,0.0
842cc03ffffffff,3.0,0.0,0.0
842cc05ffffffff,23.0,0.0,0.0
842cc07ffffffff,3.0,0.0,0.0
842cc15ffffffff,3.0,0.0,0.0
842ce41ffffffff,10.0,0.0,0.0
842ce45ffffffff,24.0,0.0,0.0
842ce49ffffffff,2.0,0.0,0.0
842ce4bffffffff,90.0,0.0,0.0
842ce4dffffffff,1.0,0.0,0.0
842ce59ffffffff,1.0,0.0,0.0
842d121ffffffff,6.0,0.0,0.0
842d125ffffffff,73.0,0.0,0.0
842d127ffffffff,2.0,0.0,0.0
842d12dffffffff,5.0,0.0,0.0
842da09ffffffff,8.0,0.0,0.0
842da0bffffffff,2.0,0.0,0.0
842da17ffffffff,3.0,0.0,0.0
842da19ffffffff,14.0,0.0,0.0
842da1bffffffff,42.0,0.0,0.0
842da45ffffffff,32.0,2.0,0.0
842da47ffffffff,3.0,0.0,0.0
842da4dffffffff,2.0,0.0,0.0
842da59ffffffff,1.0,0.0,0.0
842da5dffffffff,155.0,0.0,0.0
842da69ffffffff,51.0,2.0,0.0
842da6bffffffff,18.0,5.0,0.0
842da81ffffffff,191.0,0.0,0.0
842da83ffffffff,5.0,0.0,0.0
842da89ffffffff,3.0,0.0,0.0
842da8dffffffff,24.0,0.0,0.0
842da91ffffffff,1.0,0.0,0.0
842da95ffffffff,2.0,0.0,0.0
842dab1ffffffff,7.0,0.0,0.0
842dab9ffffffff,20.0,0.0,0.0
842dabbffffffff,4.0,0.0,0.0
842dac5ffffffff,2.0,0.0,0.0
842dac9ffffffff,12.0,0.0,0.0
842dacdffffffff,5.0,0.0,0.0
842db03ffffffff,369.0,18.0,0.0
842db07ffffffff,2.0,0.0,0.0
842db0bffffffff,121.0,0.0,0.0
842db11ffffffff,43.0,0.0,0.0
842db15ffffffff,11.0,0.0,0.0
842db1dffffffff,191.0,0.0,0.0
842db2bffffffff,3.0,0.0,0.0
843c021ffffffff,3.0,0.0,0.0
843c029ffffffff,41.0,0.0,0.0
843c02dffffffff,24.0,0.0,0.0
843c065ffffffff,7.0,0.0,0.0
843c067ffffffff,8.0,0.0,0.0
843c069ffffffff,2.0,0.0,0.0
843c06dffffffff,2.0,0.0,0.0
843c151ffffffff,2.0,0.0,0.0
843c155ffffffff,3.0,0.0,0.0
843c159ffffffff,63.0,0.0,0.0
843c1b5ffffffff,10.0,0.0,0.0
843c1c1ffffffff,1.0,0.0,0.0
843c1c3ffffffff,136.0,0.0,0.0
