cell_id,Corvus corone,Corvus corone corone,Corvus corone orientalis
840814bffffffff,2.0,0.0,0.0
8408287ffffffff,1.0,0.0,0.0
840836dffffffff,1.0,0.0,0.0
84095adffffffff,2.0,0.0,0.0
8409805ffffffff,29.0,0.0,0.0
8409811ffffffff,6.0,0.0,0.0
8409821ffffffff,9.0,0.0,0.0
840982bffffffff,2.0,0.0,0.0
840982dffffffff,9.0,0.0,0.0
8409911ffffffff,12.0,0.0,0.0
840991bffffffff,85.0,0.0,0.0
8409927ffffffff,2.0,0.0,0.0
84099e9ffffffff,15.0,0.0,0.0
8409a09ffffffff,3.0,0.0,0.0
8409a41ffffffff,2.0,0.0,0.0
8409a45ffffffff,2.0,0.0,0.0
8409a47ffffffff,6.0,0.0,0.0
8409a4dffffffff,3.0,0.0,0.0
8409a69ffffffff,4.0,0.0,0.0
840a337ffffffff,15.0,0.0,0.0
840a91dffffffff,2.0,0.0,0.0
840aa6dffffffff,1.0,0.0,0.0
840b893ffffffff,1.0,0.0,0.0
840b911ffffffff,2.0,0.0,0.0
840b917ffffffff,2.0,0.0,0.0
840b931ffffffff,4.0,0.0,0.0
840b935ffffffff,2.0,0.0,0.0
840b9a7ffffffff,5.0,0.0,0.0
840bb1dffffffff,2.0,0.0,0.0
84144c5ffffffff,2.0,0.0,0.0
841451dffffffff,2.0,0.0,0.0
8414523ffffffff,2.0,0.0,0.0
84149adffffffff,16.0,0.0,0.0
8414a8dffffffff,2.0,0.0,0.0
8414ae5ffffffff,160.0,0.0,0.0
8414ae9ffffffff,2.0,0.0,0.0
8414b29ffffffff,2.0,0.0,0.0
8414c87ffffffff,3.0,0.0,0.0
8414cd5ffffffff,1.0,0.0,0.0
8414d65ffffffff,2.0,0.0,0.0
84155d9ffffffff,7.0,0.0,0.0
84155dbffffffff,7.0,0.0,0.0
8415885ffffffff,2.0,0.0,0.0
8415889ffffffff,3.0,0.0,0.0
84158adffffffff,2.0,0.0,0.0
8415923ffffffff,1.0,0.0,0.0
8415925ffffffff,2.0,0.0,0.0
8415927ffffffff,26.0,0.0,0.0
8415929ffffffff,1.0,0.0,0.0
841592bffffffff,16.0,0.0,0.0
8415981ffffffff,3.0,0.0,0.0
8415983ffffffff,7.0,0.0,0.0
8415985ffffffff,1.0,0.0,0.0
841598bffffffff,41.0,0.0,1.0
841598dffffffff,6.0,0.0,0.0
8415995ffffffff,1.0,0.0,1.0
841599dffffffff,2.0,0.0,1.0
84159c1ffffffff,2.0,0.0,0.0
84159c5ffffffff,2.0,0.0,0.0
84159c9ffffffff,2.0,0.0,0.0
84159ebffffffff,3.0,0.0,0.0
8415b07ffffffff,12.0,0.0,0.0
8415b69ffffffff,2.0,0.0,0.0
8416013ffffffff,5.0,0.0,0.0
8416109ffffffff,13.0,0.0,0.0
8416161ffffffff,49.0,0.0,0.0
8416163ffffffff,51.0,0.0,0.0
841616bffffffff,2.0,0.0,0.0
8416301ffffffff,3.0,0.0,0.0
8416303ffffffff,1.0,0.0,0.0
8417111ffffffff,2.0,0.0,0.0
84171a7ffffffff,43.0,0.0,0.0
841788bffffffff,21.0,0.0,0.0
8418299ffffffff,144.0,0.0,0.0
84182d3ffffffff,42.0,0.0,0.0
84182d9ffffffff,8.0,0.0,0.0
84182dbffffffff,2.0,0.0,0.0
8418409ffffffff,1.0,0.0,0.0
8418443ffffffff,167.0,8.0,0.0
8418445ffffffff,2.0,0.0,0.0
8418447ffffffff,33.0,8.0,0.0
8418449ffffffff,1.0,0.0,0.0
841844bffffffff,2.0,0.0,0.0
841844dffffffff,17.0,0.0,0.0
8418451ffffffff,40.0,0.0,0.0
8418453ffffffff,6.0,0.0,0.0
8418455ffffffff,17.0,0.0,0.0
8418457ffffffff,14.0,0.0,0.0
8418459ffffffff,71.0,0.0,0.0
841845bffffffff,22.0,0.0,0.0
841845dffffffff,70.0,0.0,0.0
8418461ffffffff,30.0,8.0,0.0
8418469ffffffff,37.0,0.0,0.0
841846bffffffff,21.0,2.0,0.0
841846dffffffff,61.0,0.0,0.0
8418491ffffffff,353.0,0.0,0.0
8418493ffffffff,665.0,0.0,0.0
