cell_id,Laniarius bicolor,Laniarius bicolor bicolor/guttatus,Laniarius bicolor sticturus
83821bfffffffff,1.0,0.0,0.0
8382b3fffffffff,1.0,0.0,0.0
8382f0fffffffff,5.0,0.0,0.0
8382f4fffffffff,5.0,0.0,0.0
838304fffffffff,6.0,0.0,0.0
838311fffffffff,13.0,0.0,0.0
838312fffffffff,7.0,0.0,0.0
83831efffffffff,20.0,0.0,0.0
838320fffffffff,7.0,0.0,0.0
838326fffffffff,2.0,0.0,0.0
8383adfffffffff,9.0,0.0,0.0
839646fffffffff,1.0,0.0,0.0
839666fffffffff,1.0,0.0,0.0
839670fffffffff,1.0,0.0,0.0
839675fffffffff,1.0,0.0,0.0
839740fffffffff,1.0,0.0,0.0
839741fffffffff,162.0,0.0,36.0
839743fffffffff,146.0,0.0,35.0
83974afffffffff,719.0,0.0,237.0
83974bfffffffff,104.0,0.0,45.0
83974efffffffff,218.0,0.0,65.0
839751fffffffff,167.0,0.0,12.0
839758fffffffff,1.0,0.0,0.0
83975bfffffffff,2.0,0.0,0.0
83975cfffffffff,156.0,0.0,29.0
83975dfffffffff,61.0,0.0,12.0
83975efffffffff,12.0,0.0,3.0
83976afffffffff,2.0,0.0,2.0
83ac8afffffffff,115.0,0.0,16.0
83ac8efffffffff,17.0,0.0,0.0
83ac96fffffffff,201.0,0.0,27.0
