cell_id,Monarcha castaneiventris,Monarcha castaneiventris castaneiventris/obscurior,Monarcha castaneiventris megarhynchus,Monarcha castaneiventris ugiensis,Monarcha castaneiventris erythrostictus
837680fffffffff,10.0,0.0,0.0,0.0,10.0
837683fffffffff,4.0,0.0,0.0,0.0,1.0
837684fffffffff,4.0,0.0,0.0,0.0,4.0
83768efffffffff,3.0,0.0,0.0,0.0,0.0
8376d2fffffffff,1.0,0.0,0.0,0.0,0.0
839ed1fffffffff,5.0,0.0,0.0,0.0,0.0
839ed3fffffffff,11.0,0.0,0.0,0.0,0.0
839ed5fffffffff,49.0,0.0,12.0,0.0,0.0
839edafffffffff,33.0,0.0,0.0,0.0,0.0
839edcfffffffff,1.0,0.0,0.0,0.0,0.0
839edefffffffff,22.0,0.0,0.0,0.0,0.0
839ef3fffffffff,13.0,0.0,0.0,0.0,0.0
