cell_id,Cyphorhinus arada,Cyphorhinus arada transfluvialis,Cyphorhinus arada salvini,Cyphorhinus arada arada,Cyphorhinus arada griseolateralis,Cyphorhinus arada interpositus,Cyphorhinus arada modulator
825f07fffffffff,72.0,0.0,0.0,0.0,0.0,0.0,0.0
825f17fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
825f27fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
825f2ffffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
825f47fffffffff,47.0,0.0,0.0,0.0,0.0,0.0,0.0
825f57fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
825f77fffffffff,23.0,0.0,0.0,1.0,0.0,0.0,0.0
82665ffffffffff,87.0,1.0,0.0,0.0,0.0,0.0,0.0
8266c7fffffffff,113.0,0.0,0.0,0.0,0.0,0.0,0.0
8266d7fffffffff,62.0,0.0,0.0,0.0,0.0,0.0,0.0
8266dffffffffff,545.0,0.0,72.0,0.0,0.0,0.0,0.0
828a07fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
828a17fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
828a47fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
828a57fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
828a6ffffffffff,53.0,0.0,0.0,0.0,0.0,0.0,0.0
828a77fffffffff,18.0,0.0,0.0,3.0,0.0,0.0,0.0
828a87fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
828a8ffffffffff,2.0,0.0,0.0,1.0,0.0,0.0,0.0
828ae7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
828af7fffffffff,211.0,0.0,0.0,17.0,0.0,0.0,0.0
828b2ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
828b47fffffffff,321.0,0.0,0.0,0.0,0.0,0.0,0.0
828b57fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
828b67fffffffff,57.0,0.0,0.0,0.0,0.0,0.0,0.0
828b6ffffffffff,75.0,0.0,0.0,0.0,0.0,0.0,0.0
828b77fffffffff,39.0,0.0,0.0,0.0,0.0,0.0,0.0
828b9ffffffffff,54.0,0.0,0.0,0.0,0.0,0.0,0.0
828ba7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
828f47fffffffff,75.0,0.0,0.0,0.0,0.0,0.0,0.0
828f4ffffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
828f67fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
828f6ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
828f77fffffffff,106.0,0.0,0.0,0.0,0.0,0.0,0.0
