cell_id,Cercotrichas galactotes,Cercotrichas galactotes [galactotes Group],Cercotrichas galactotes minor/hamertoni
831ecafffffffff,25.0,9.0,0.0
831ecbfffffffff,2.0,2.0,0.0
831ecdfffffffff,3.0,3.0,0.0
831ecefffffffff,13.0,6.0,0.0
831ed9fffffffff,31.0,12.0,0.0
831edafffffffff,25.0,8.0,0.0
83200afffffffff,22.0,5.0,0.0
83200efffffffff,2.0,1.0,0.0
832010fffffffff,1.0,0.0,0.0
832016fffffffff,23.0,5.0,0.0
832019fffffffff,5.0,3.0,0.0
83201dfffffffff,5.0,5.0,0.0
8320a4fffffffff,3.0,0.0,0.0
8320b1fffffffff,2.0,0.0,0.0
8320b3fffffffff,6.0,3.0,0.0
8320e3fffffffff,2.0,0.0,0.0
8320e4fffffffff,1.0,1.0,0.0
832183fffffffff,1.0,0.0,0.0
832189fffffffff,2.0,0.0,0.0
83218bfffffffff,20.0,2.0,0.0
832198fffffffff,16.0,8.0,0.0
832199fffffffff,2.0,0.0,0.0
83219cfffffffff,8.0,7.0,0.0
83219efffffffff,2.0,0.0,0.0
8321b5fffffffff,2.0,0.0,0.0
8325b1fffffffff,3.0,2.0,0.0
832c00fffffffff,63.0,35.0,0.0
832c01fffffffff,1.0,0.0,0.0
832c03fffffffff,22.0,16.0,0.0
832c04fffffffff,54.0,22.0,0.0
832c05fffffffff,16.0,8.0,0.0
832c06fffffffff,2.0,2.0,0.0
832c0bfffffffff,18.0,17.0,0.0
832c0cfffffffff,24.0,0.0,0.0
832c10fffffffff,10.0,2.0,0.0
832c12fffffffff,4.0,4.0,0.0
832c13fffffffff,29.0,11.0,0.0
832c14fffffffff,6.0,5.0,0.0
832c15fffffffff,2.0,0.0,0.0
832c19fffffffff,2.0,2.0,0.0
832c1dfffffffff,2.0,2.0,0.0
832c1efffffffff,21.0,10.0,0.0
832c2afffffffff,17.0,0.0,0.0
832c30fffffffff,9.0,9.0,0.0
832c32fffffffff,10.0,4.0,0.0
832c33fffffffff,4.0,4.0,0.0
832c34fffffffff,1.0,0.0,0.0
832c36fffffffff,6.0,6.0,0.0
832c83fffffffff,17.0,8.0,0.0
832c8efffffffff,5.0,5.0,0.0
832c90fffffffff,116.0,83.0,0.0
832c91fffffffff,37.0,31.0,0.0
832c93fffffffff,659.0,565.0,0.0
832c9bfffffffff,2.0,0.0,0.0
832c9cfffffffff,11.0,7.0,0.0
832c9efffffffff,2.0,2.0,0.0
832ca1fffffffff,2.0,2.0,0.0
832ca4fffffffff,6.0,6.0,0.0
832caafffffffff,2.0,0.0,0.0
832cacfffffffff,31.0,27.0,0.0
832cadfffffffff,2.0,0.0,0.0
832cc0fffffffff,14.0,0.0,0.0
832cc1fffffffff,6.0,2.0,0.0
832cc2fffffffff,4.0,0.0,0.0
832cd4fffffffff,85.0,45.0,0.0
832cd5fffffffff,1.0,0.0,0.0
832cd8fffffffff,2.0,0.0,0.0
832cd9fffffffff,2.0,2.0,0.0
832cddfffffffff,3.0,3.0,0.0
832ce4fffffffff,23.0,9.0,0.0
832cf0fffffffff,35.0,7.0,0.0
832cf3fffffffff,95.0,33.0,0.0
832d10fffffffff,2.0,2.0,0.0
832d12fffffffff,37.0,30.0,0.0
832d1afffffffff,8.0,6.0,0.0
832d36fffffffff,3.0,0.0,0.0
832d84fffffffff,12.0,3.0,0.0
832d94fffffffff,2.0,2.0,0.0
832da1fffffffff,84.0,59.0,0.0
832da3fffffffff,1.0,0.0,0.0
832da5fffffffff,58.0,32.0,0.0
832da8fffffffff,149.0,68.0,0.0
832da9fffffffff,25.0,9.0,0.0
832dabfffffffff,21.0,10.0,0.0
832dacfffffffff,35.0,15.0,0.0
832dadfffffffff,4.0,4.0,0.0
832daefffffffff,48.0,5.0,0.0
832db0fffffffff,94.0,32.0,0.0
832db1fffffffff,68.0,13.0,0.0
832db2fffffffff,472.0,96.0,0.0
832db3fffffffff,33.0,14.0,0.0
832db6fffffffff,164.0,49.0,0.0
833816fffffffff,118.0,66.0,0.0
833820fffffffff,1.0,0.0,0.0
833824fffffffff,38.0,4.0,0.0
833825fffffffff,38.0,12.0,0.0
833841fffffffff,2.0,2.0,0.0
833845fffffffff,2.0,2.0,0.0
83384afffffffff,8.0,8.0,0.0
83385dfffffffff,2.0,0.0,0.0
833862fffffffff,7.0,7.0,0.0
83386afffffffff,2.0,0.0,0.0
83386efffffffff,2.0,0.0,0.0
833900fffffffff,33.0,0.0,0.0
833901fffffffff,1.0,0.0,0.0
833902fffffffff,43.0,33.0,0.0
833903fffffffff,22.0,0.0,0.0
833905fffffffff,22.0,0.0,0.0
833911fffffffff,175.0,98.0,0.0
833915fffffffff,3.0,2.0,0.0
833918fffffffff,3.0,3.0,0.0
83391afffffffff,34.0,31.0,0.0
83391cfffffffff,115.0,33.0,0.0
83391efffffffff,133.0,45.0,0.0
833956fffffffff,12.0,2.0,0.0
833981fffffffff,4.0,0.0,0.0
833982fffffffff,14.0,9.0,0.0
833983fffffffff,26.0,14.0,0.0
833988fffffffff,3.0,0.0,0.0
833989fffffffff,22.0,7.0,0.0
83398afffffffff,7.0,2.0,0.0
83398bfffffffff,25.0,8.0,0.0
83398efffffffff,30.0,8.0,0.0
833991fffffffff,64.0,35.0,0.0
833992fffffffff,4.0,4.0,0.0
833993fffffffff,12.0,5.0,0.0
833998fffffffff,1.0,0.0,0.0
83399cfffffffff,10.0,6.0,0.0
83399dfffffffff,19.0,6.0,0.0
83399efffffffff,3.0,3.0,0.0
8339abfffffffff,2.0,2.0,0.0
833e41fffffffff,2.0,2.0,0.0
833e45fffffffff,110.0,110.0,0.0
833e58fffffffff,6.0,0.0,0.0
833e5bfffffffff,1.0,1.0,0.0
833e62fffffffff,5.0,0.0,0.0
833e63fffffffff,6.0,0.0,0.0
833e68fffffffff,1292.0,381.0,0.0
833e6afffffffff,1.0,0.0,0.0
833e6cfffffffff,450.0,182.0,0.0
833e70fffffffff,5.0,3.0,0.0
833e71fffffffff,6.0,5.0,0.0
833ee9fffffffff,9.0,7.0,0.0
833f2cfffffffff,10.0,0.0,0.0
833f2dfffffffff,11.0,3.0,0.0
833f45fffffffff,5.0,5.0,0.0
833f60fffffffff,2.0,0.0,0.0
833f61fffffffff,22.0,16.0,0.0
833f62fffffffff,7.0,1.0,0.0
833f63fffffffff,11.0,4.0,0.0
833f66fffffffff,4.0,0.0,0.0
833f68fffffffff,38.0,10.0,0.0
833f6cfffffffff,2.0,2.0,0.0
833f6efffffffff,7.0,7.0,0.0
834225fffffffff,11.0,0.0,0.0
834230fffffffff,3.0,0.0,0.0
834233fffffffff,3.0,3.0,0.0
834253fffffffff,25.0,0.0,0.0
83425afffffffff,2.0,0.0,0.0
8342c4fffffffff,191.0,0.0,0.0
8342c5fffffffff,220.0,0.0,0.0
8342e0fffffffff,3.0,0.0,0.0
8342e2fffffffff,18.0,0.0,0.0
8342e3fffffffff,41.0,0.0,0.0
8342e4fffffffff,1.0,0.0,0.0
8342edfffffffff,1.0,0.0,0.0
834304fffffffff,2.0,0.0,0.0
834316fffffffff,9.0,0.0,0.0
83431efffffffff,5.0,1.0,0.0
83432efffffffff,2.0,0.0,0.0
834331fffffffff,1.0,0.0,0.0
834334fffffffff,4.0,0.0,0.0
834350fffffffff,8.0,6.0,0.0
834354fffffffff,4.0,0.0,0.0
834360fffffffff,43.0,4.0,0.0
834363fffffffff,2.0,0.0,0.0
834370fffffffff,3.0,0.0,0.0
834373fffffffff,3.0,0.0,0.0
834381fffffffff,2.0,2.0,0.0
834388fffffffff,2.0,0.0,0.0
83438afffffffff,3.0,0.0,0.0
83438cfffffffff,4.0,1.0,0.0
834396fffffffff,2.0,1.0,0.0
834398fffffffff,2.0,2.0,0.0
83439cfffffffff,1.0,1.0,0.0
8343a0fffffffff,52.0,40.0,0.0
8343a1fffffffff,47.0,16.0,0.0
8343a2fffffffff,1.0,1.0,0.0
8343a3fffffffff,15.0,14.0,0.0
8343a4fffffffff,1.0,1.0,0.0
8343a6fffffffff,8.0,8.0,0.0
8343a8fffffffff,4.0,2.0,0.0
8343acfffffffff,100.0,67.0,0.0
8343aefffffffff,163.0,150.0,0.0
835202fffffffff,4.0,1.0,0.0
835206fffffffff,3.0,0.0,0.0
835211fffffffff,9.0,3.0,0.0
835215fffffffff,2.0,2.0,0.0
83521cfffffffff,12.0,6.0,0.0
83521efffffffff,14.0,3.0,0.0
835230fffffffff,2.0,2.0,0.0
83524dfffffffff,2.0,1.0,0.0
835269fffffffff,5.0,5.0,0.0
835286fffffffff,2.0,0.0,0.0
835289fffffffff,14.0,9.0,3.0
83528afffffffff,4.0,4.0,0.0
8352b1fffffffff,1.0,1.0,0.0
8352d4fffffffff,50.0,26.0,15.0
8352d6fffffffff,20.0,14.0,1.0
8352dcfffffffff,2.0,2.0,0.0
835311fffffffff,1.0,0.0,0.0
835312fffffffff,4.0,0.0,0.0
835313fffffffff,2.0,0.0,0.0
83532bfffffffff,4.0,2.0,0.0
835336fffffffff,2.0,0.0,0.0
835345fffffffff,9.0,2.0,0.0
83534cfffffffff,6.0,0.0,0.0
83534dfffffffff,109.0,39.0,0.0
835355fffffffff,2.0,0.0,0.0
835362fffffffff,3.0,0.0,0.0
835363fffffffff,17.0,0.0,0.0
835364fffffffff,73.0,52.0,0.0
835368fffffffff,2.0,2.0,0.0
83536afffffffff,49.0,20.0,0.0
83536bfffffffff,7.0,0.0,0.0
83536efffffffff,9.0,0.0,0.0
8353b4fffffffff,3.0,0.0,0.0
835402fffffffff,2.0,0.0,2.0
835410fffffffff,75.0,19.0,22.0
835411fffffffff,19.0,4.0,3.0
835413fffffffff,24.0,2.0,12.0
835414fffffffff,2.0,2.0,0.0
835415fffffffff,3.0,0.0,0.0
835418fffffffff,7.0,0.0,0.0
83541afffffffff,11.0,5.0,3.0
83541efffffffff,31.0,17.0,0.0
8354adfffffffff,15.0,4.0,2.0
8354e5fffffffff,3.0,0.0,0.0
83550afffffffff,3.0,3.0,0.0
835510fffffffff,1.0,0.0,0.0
835518fffffffff,3.0,3.0,0.0
83551bfffffffff,4.0,4.0,0.0
83551efffffffff,2.0,0.0,0.0
835858fffffffff,1.0,0.0,1.0
83585afffffffff,1.0,0.0,0.0
83585efffffffff,1.0,1.0,0.0
835883fffffffff,1.0,0.0,0.0
835929fffffffff,1.0,1.0,0.0
835998fffffffff,1.0,0.0,1.0
83599cfffffffff,1.0,1.0,0.0
836332fffffffff,13.0,6.0,0.0
836336fffffffff,5.0,0.0,0.0
836a4bfffffffff,6.0,0.0,0.0
836acefffffffff,1.0,0.0,0.0
836ae8fffffffff,1.0,0.0,0.0
836b12fffffffff,6.0,0.0,0.0
836bacfffffffff,1.0,0.0,0.0
837a40fffffffff,60.0,15.0,0.0
837a41fffffffff,3.0,3.0,0.0
