cell_id,Perisoreus canadensis,Perisoreus canadensis [canadensis Group],Perisoreus canadensis capitalis/bicolor,Perisoreus canadensis obscurus/griseus
830c01fffffffff,5.0,0.0,0.0,0.0
830c02fffffffff,4.0,0.0,0.0,0.0
830c03fffffffff,66.0,0.0,0.0,0.0
830c04fffffffff,19.0,0.0,0.0,0.0
830c05fffffffff,5.0,0.0,0.0,0.0
830c06fffffffff,21.0,0.0,0.0,0.0
830c0bfffffffff,39.0,0.0,0.0,0.0
830c14fffffffff,31.0,0.0,0.0,0.0
830c15fffffffff,38.0,0.0,0.0,0.0
830c1bfffffffff,5.0,0.0,0.0,0.0
830c1efffffffff,2.0,0.0,0.0,0.0
830c21fffffffff,14.0,0.0,0.0,0.0
830c23fffffffff,33.0,0.0,0.0,0.0
830c25fffffffff,9.0,0.0,0.0,0.0
830c29fffffffff,2.0,0.0,0.0,0.0
830c2afffffffff,81.0,0.0,0.0,0.0
830c2cfffffffff,56.0,0.0,0.0,0.0
830c2dfffffffff,2.0,0.0,0.0,0.0
830c34fffffffff,31.0,0.0,0.0,0.0
830c35fffffffff,3.0,0.0,0.0,0.0
830c42fffffffff,41.0,0.0,0.0,0.0
830c44fffffffff,5.0,0.0,0.0,0.0
830c45fffffffff,2.0,0.0,0.0,0.0
830c46fffffffff,102.0,0.0,0.0,0.0
830c50fffffffff,27.0,0.0,0.0,0.0
830c51fffffffff,394.0,0.0,0.0,0.0
830c52fffffffff,6.0,0.0,0.0,0.0
830c54fffffffff,41.0,0.0,0.0,0.0
830c55fffffffff,433.0,0.0,0.0,0.0
830c56fffffffff,11.0,0.0,0.0,0.0
830c60fffffffff,45.0,4.0,0.0,0.0
830c61fffffffff,18.0,0.0,0.0,0.0
830c62fffffffff,190.0,3.0,0.0,0.0
830c63fffffffff,39.0,0.0,0.0,0.0
830c64fffffffff,180.0,1.0,0.0,0.0
830c65fffffffff,123.0,2.0,0.0,0.0
830c66fffffffff,94.0,21.0,0.0,0.0
830c70fffffffff,112.0,12.0,0.0,0.0
830c71fffffffff,245.0,0.0,0.0,0.0
830c72fffffffff,3.0,0.0,0.0,0.0
