cell_id,Sclerurus albigularis,Sclerurus albigularis canigularis,Sclerurus albigularis [albigularis Group]
835f5bfffffffff,39.0,0.0,0.0
83661bfffffffff,1.0,0.0,0.0
836629fffffffff,4.0,0.0,0.0
8366b5fffffffff,3.0,0.0,0.0
8366dafffffffff,1.0,0.0,0.0
836741fffffffff,2.0,0.0,0.0
83675afffffffff,1.0,0.0,0.0
836d69fffffffff,1.0,0.0,0.0
838b22fffffffff,1.0,0.0,0.0
838b61fffffffff,9.0,0.0,0.0
838b63fffffffff,1.0,0.0,0.0
838b6dfffffffff,1.0,0.0,0.0
838b6efffffffff,4.0,0.0,0.0
838f4bfffffffff,1.0,0.0,0.0
838f72fffffffff,6.0,0.0,0.0
838f76fffffffff,1.0,0.0,0.0
