cell_id,Fulvetta vinipectus,Fulvetta vinipectus vinipectus/kangrae,Fulvetta vinipectus chumbiensis,Fulvetta vinipectus austeni,Fulvetta vinipectus ripponi,Fulvetta vinipectus bieti/perstriata,Fulvetta vinipectus valentinae
823c07fffffffff,333.0,2.0,0.0,0.0,0.0,0.0,0.0
823c0ffffffffff,1278.0,0.0,0.0,0.0,0.0,0.0,0.0
823c1ffffffffff,950.0,0.0,0.0,0.0,0.0,0.0,0.0
823c37fffffffff,44.0,0.0,0.0,0.0,0.0,0.0,0.0
823c57fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
823c5ffffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0
823cdffffffffff,143.0,0.0,0.0,0.0,0.0,0.0,0.0
823ce7fffffffff,233.0,0.0,0.0,0.0,0.0,0.0,0.0
823ceffffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
824047fffffffff,63.0,0.0,0.0,0.0,0.0,0.0,0.0
82404ffffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0
824057fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82405ffffffffff,53.0,0.0,0.0,0.0,0.0,0.0,0.0
824077fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8240c7fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8240effffffffff,41.0,0.0,0.0,0.0,0.0,0.0,0.0
824147fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82415ffffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
82649ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
