cell_id,Todiramphus chloris,Todiramphus chloris abyssinicus,Todiramphus chloris kalbaensis,Todiramphus chloris [humii Group],Todiramphus chloris occipitalis,Todiramphus chloris [chloris Group]
833c88fffffffff,69.0,0.0,0.0,2.0,0.0,0.0
833c8dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
833cf2fffffffff,53.0,0.0,0.0,0.0,0.0,0.0
834103fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83411dfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8343a8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
834a26fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
834b86fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
834ba0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
834ba1fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
834bb1fffffffff,56.0,0.0,0.0,0.0,0.0,2.0
834bb5fffffffff,35.0,0.0,0.0,0.0,0.0,0.0
835215fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8360a9fffffffff,75.0,0.0,0.0,1.0,0.0,0.0
83640afffffffff,1.0,0.0,0.0,1.0,0.0,0.0
836428fffffffff,11.0,0.0,0.0,0.0,11.0,0.0
83642bfffffffff,3.0,0.0,0.0,0.0,3.0,0.0
8364abfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8364e4fffffffff,4.0,0.0,0.0,4.0,0.0,0.0
836500fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
836501fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836503fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
836505fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83650efffffffff,10.0,0.0,0.0,0.0,0.0,0.0
836518fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
836519fffffffff,27.0,0.0,0.0,0.0,0.0,0.0
83651cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83651dfffffffff,270.0,0.0,0.0,0.0,0.0,0.0
836520fffffffff,78.0,0.0,0.0,3.0,0.0,0.0
836522fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836523fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836526fffffffff,71.0,0.0,0.0,2.0,0.0,0.0
836531fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836858fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8368c8fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
8368cafffffffff,2.0,0.0,0.0,0.0,0.0,2.0
8368cefffffffff,7.0,0.0,0.0,0.0,0.0,7.0
8368d2fffffffff,3.0,0.0,0.0,0.0,0.0,3.0
8368ddfffffffff,3.0,0.0,0.0,0.0,0.0,3.0
836941fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836945fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83694efffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8372aefffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839415fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83942dfffffffff,1.0,0.0,0.0,0.0,0.0,1.0
8395a4fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
