cell_id,Ammospiza nelsoni,Ammospiza nelsoni nelsoni/altera,Ammospiza nelsoni subvirgata
840e497ffffffff,21.0,0.0,0.0
840e4d3ffffffff,2.0,0.0,0.0
840e4dbffffffff,35.0,0.0,0.0
840ec19ffffffff,89.0,0.0,0.0
840ec51ffffffff,1.0,0.0,0.0
840ec57ffffffff,4.0,0.0,0.0
840ec81ffffffff,1.0,0.0,0.0
840ec95ffffffff,2.0,0.0,0.0
840ecc9ffffffff,33.0,0.0,0.0
840ee27ffffffff,1.0,0.0,0.0
840ee85ffffffff,19.0,0.0,0.0
840ee87ffffffff,34.0,0.0,0.0
840eea3ffffffff,2.0,0.0,0.0
840eea7ffffffff,181.0,0.0,0.0
840eeabffffffff,18.0,0.0,0.0
840eeb5ffffffff,83.0,3.0,0.0
840eebdffffffff,107.0,0.0,0.0
84121bbffffffff,1.0,0.0,0.0
84125adffffffff,1.0,0.0,0.0
84125d7ffffffff,2.0,0.0,0.0
8412c1bffffffff,17.0,4.0,0.0
8412c85ffffffff,4.0,0.0,0.0
8412c87ffffffff,3.0,0.0,0.0
8412c89ffffffff,4.0,0.0,0.0
8412cc1ffffffff,6.0,2.0,0.0
8412cc7ffffffff,4.0,0.0,0.0
8412cc9ffffffff,13.0,2.0,0.0
8412ccdffffffff,2.0,0.0,0.0
841aa07ffffffff,2.0,0.0,0.0
841aa27ffffffff,2.0,0.0,0.0
841aa35ffffffff,4.0,0.0,0.0
841aa3dffffffff,2.0,0.0,0.0
841b9a5ffffffff,1.0,0.0,0.0
842600bffffffff,1.0,0.0,0.0
842603dffffffff,4.0,0.0,0.0
842604bffffffff,2.0,0.0,0.0
84260a9ffffffff,2.0,0.0,0.0
84260b9ffffffff,2.0,0.0,0.0
84260d9ffffffff,1.0,0.0,0.0
84260dbffffffff,2.0,0.0,0.0
84261d3ffffffff,1.0,0.0,0.0
842620bffffffff,1.0,0.0,0.0
8426245ffffffff,1.0,0.0,0.0
84262b7ffffffff,7.0,2.0,0.0
84262c1ffffffff,1.0,0.0,0.0
84262cdffffffff,3.0,0.0,0.0
8426341ffffffff,2.0,0.0,0.0
8426455ffffffff,4.0,0.0,0.0
8426461ffffffff,8.0,0.0,0.0
8426463ffffffff,6.0,0.0,0.0
842646bffffffff,5.0,0.0,0.0
8426481ffffffff,2.0,0.0,0.0
8426483ffffffff,1.0,0.0,0.0
8426489ffffffff,23.0,0.0,0.0
84264a1ffffffff,3.0,0.0,0.0
84264a9ffffffff,2.0,0.0,0.0
84264adffffffff,3.0,0.0,0.0
84264c7ffffffff,9.0,2.0,0.0
84264cbffffffff,2.0,0.0,0.0
84264d1ffffffff,15.0,0.0,0.0
84264dbffffffff,5.0,0.0,0.0
84264e5ffffffff,9.0,0.0,0.0
842652dffffffff,1.0,1.0,0.0
8426533ffffffff,1.0,0.0,0.0
8426541ffffffff,2.0,0.0,0.0
8426551ffffffff,2.0,0.0,0.0
8426555ffffffff,20.0,0.0,0.0
842659bffffffff,15.0,0.0,0.0
84265b5ffffffff,6.0,0.0,0.0
84265b9ffffffff,12.0,0.0,0.0
84265dbffffffff,8.0,0.0,0.0
8426607ffffffff,1.0,0.0,0.0
842660bffffffff,7.0,0.0,0.0
8426619ffffffff,3.0,0.0,0.0
8426621ffffffff,1.0,0.0,0.0
8426625ffffffff,1.0,0.0,0.0
842662dffffffff,2.0,0.0,0.0
8426635ffffffff,1.0,0.0,0.0
842663dffffffff,2.0,0.0,0.0
8426641ffffffff,19.0,0.0,0.0
842664dffffffff,96.0,2.0,0.0
8426657ffffffff,2.0,0.0,0.0
8426669ffffffff,13.0,2.0,0.0
842668bffffffff,2.0,0.0,0.0
84266a1ffffffff,1.0,0.0,0.0
84266a5ffffffff,22.0,4.0,0.0
84266b1ffffffff,2.0,0.0,0.0
84266b5ffffffff,1.0,0.0,0.0
84266c5ffffffff,2.0,1.0,0.0
84266d5ffffffff,5.0,3.0,0.0
84266dbffffffff,7.0,0.0,0.0
84266e1ffffffff,2.0,0.0,0.0
84266ebffffffff,3.0,0.0,0.0
8426711ffffffff,2.0,0.0,0.0
8426719ffffffff,4.0,0.0,0.0
8426889ffffffff,10.0,0.0,0.0
84268cdffffffff,97.0,2.0,0.0
8426969ffffffff,10.0,6.0,0.0
8426c89ffffffff,3.0,0.0,0.0
8426c9dffffffff,1.0,0.0,0.0
8426cb9ffffffff,3.0,0.0,0.0
8426cd1ffffffff,2.0,0.0,0.0
8426d2bffffffff,4.0,0.0,0.0
8426e21ffffffff,2.0,2.0,0.0
8426e5bffffffff,22.0,10.0,0.0
8426e67ffffffff,2.0,0.0,0.0
8426e9dffffffff,3.0,0.0,0.0
8426ec1ffffffff,3.0,0.0,0.0
8426ed7ffffffff,10.0,0.0,0.0
8426edbffffffff,2.0,0.0,0.0
8427023ffffffff,4.0,0.0,0.0
8427025ffffffff,2.0,0.0,0.0
8427097ffffffff,2.0,0.0,0.0
84270b5ffffffff,3.0,0.0,0.0
84270e1ffffffff,3.0,0.0,0.0
8427119ffffffff,3.0,0.0,0.0
8427131ffffffff,3.0,0.0,0.0
8427195ffffffff,2.0,0.0,0.0
842719dffffffff,4.0,0.0,0.0
8427445ffffffff,3.0,0.0,0.0
842748dffffffff,7.0,0.0,0.0
8427497ffffffff,2.0,0.0,0.0
8427499ffffffff,7.0,0.0,0.0
84274a3ffffffff,1.0,0.0,0.0
84274d5ffffffff,53.0,0.0,0.0
84274d7ffffffff,12.0,0.0,0.0
84274e3ffffffff,4.0,0.0,0.0
8427527ffffffff,2.0,0.0,0.0
8427529ffffffff,9.0,0.0,0.0
842754dffffffff,1.0,0.0,0.0
8427565ffffffff,3.0,0.0,0.0
8427569ffffffff,2.0,2.0,0.0
8427581ffffffff,138.0,4.0,0.0
8427583ffffffff,26.0,0.0,0.0
8427585ffffffff,3.0,0.0,0.0
