cell_id,Cisticola erythrops,Cisticola erythrops [erythrops Group],Cisticola erythrops lepe
845291bffffffff,3.0,0.0,0.0
84529b9ffffffff,3.0,0.0,0.0
84541b9ffffffff,6.0,0.0,0.0
8454a93ffffffff,6.0,0.0,0.0
8454a9bffffffff,1.0,0.0,0.0
8454e25ffffffff,1.0,0.0,0.0
8454e59ffffffff,2.0,0.0,0.0
8454e8bffffffff,9.0,0.0,0.0
8454f1bffffffff,2.0,0.0,0.0
8454f57ffffffff,2.0,0.0,0.0
8458817ffffffff,2.0,0.0,0.0
8458839ffffffff,4.0,0.0,0.0
8458861ffffffff,2.0,0.0,0.0
8458883ffffffff,1.0,0.0,0.0
8458901ffffffff,2.0,0.0,0.0
845890dffffffff,7.0,0.0,0.0
845894dffffffff,1.0,0.0,0.0
8458969ffffffff,15.0,2.0,0.0
8458b27ffffffff,2.0,0.0,0.0
8458b35ffffffff,3.0,0.0,0.0
8458c45ffffffff,1.0,0.0,0.0
8458db5ffffffff,2.0,0.0,0.0
8458dedffffffff,2.0,0.0,0.0
8458e2dffffffff,6.0,0.0,0.0
8458e67ffffffff,13.0,0.0,0.0
846a459ffffffff,9.0,1.0,0.0
846a5a9ffffffff,9.0,0.0,0.0
846a619ffffffff,3.0,0.0,0.0
846a697ffffffff,10.0,0.0,0.0
846ac03ffffffff,63.0,2.0,0.0
846ac0bffffffff,25.0,7.0,0.0
846ac15ffffffff,303.0,58.0,0.0
846ac19ffffffff,5.0,0.0,0.0
846ac1dffffffff,2.0,0.0,0.0
846ac31ffffffff,64.0,8.0,0.0
846ac33ffffffff,2.0,0.0,0.0
846ac35ffffffff,16.0,0.0,0.0
846ac37ffffffff,2.0,0.0,0.0
846ac39ffffffff,12.0,0.0,0.0
846ac3dffffffff,122.0,8.0,0.0
846ac89ffffffff,96.0,9.0,0.0
846ac8dffffffff,1.0,0.0,0.0
846ac93ffffffff,30.0,0.0,0.0
846ac9bffffffff,20.0,0.0,0.0
846acadffffffff,2.0,0.0,0.0
846acc3ffffffff,6.0,0.0,0.0
846acc7ffffffff,18.0,2.0,0.0
846accbffffffff,3.0,0.0,0.0
846acd1ffffffff,5.0,0.0,0.0
846acd5ffffffff,14.0,5.0,0.0
846acdbffffffff,2.0,0.0,0.0
846ace1ffffffff,2.0,0.0,0.0
846ace3ffffffff,3.0,0.0,0.0
846ace5ffffffff,27.0,0.0,0.0
846ad81ffffffff,21.0,0.0,0.0
846ad89ffffffff,4.0,0.0,0.0
846ad8bffffffff,4.0,0.0,0.0
846adc1ffffffff,22.0,3.0,0.0
846adc3ffffffff,2.0,0.0,0.0
846adc7ffffffff,8.0,0.0,0.0
846adc9ffffffff,34.0,1.0,0.0
846adcbffffffff,7.0,0.0,0.0
846add7ffffffff,2.0,0.0,0.0
846add9ffffffff,11.0,0.0,0.0
846adddffffffff,4.0,0.0,0.0
