cell_id,Turdus nigrorum,Turdus nigrorum nigrorum,Turdus nigrorum malindangensis,Turdus nigrorum katanglad,Turdus nigrorum kelleri
82685ffffffffff,18.0,0.0,0.0,0.0,18.0
826877fffffffff,3.0,0.0,0.0,0.0,0.0
