cell_id,Pericrocotus speciosus,Pericrocotus speciosus [speciosus Group],Pericrocotus speciosus leytensis/novus,Pericrocotus speciosus [marchesae Group],Pericrocotus speciosus exul/siebersi
823c07fffffffff,5.0,5.0,0.0,0.0,0.0
823c0ffffffffff,73.0,0.0,0.0,0.0,0.0
823c17fffffffff,6.0,3.0,0.0,0.0,0.0
823c1ffffffffff,69.0,0.0,0.0,0.0,0.0
823c37fffffffff,9.0,3.0,0.0,0.0,0.0
823c57fffffffff,6.0,0.0,0.0,0.0,0.0
823c5ffffffffff,2.0,1.0,0.0,0.0,0.0
823c8ffffffffff,15.0,0.0,0.0,0.0,0.0
823c97fffffffff,95.0,4.0,0.0,0.0,0.0
823c9ffffffffff,3.0,0.0,0.0,0.0,0.0
823ca7fffffffff,2.0,0.0,0.0,0.0,0.0
823cb7fffffffff,7.0,4.0,0.0,0.0,0.0
823cc7fffffffff,5.0,0.0,0.0,0.0,0.0
823cdffffffffff,2.0,0.0,0.0,0.0,0.0
823ce7fffffffff,40.0,0.0,0.0,0.0,0.0
823ceffffffffff,11.0,2.0,0.0,0.0,0.0
823cf7fffffffff,1.0,0.0,0.0,0.0,0.0
823d17fffffffff,7.0,3.0,0.0,0.0,0.0
823d9ffffffffff,2.0,2.0,0.0,0.0,0.0
823daffffffffff,26.0,13.0,0.0,0.0,0.0
82411ffffffffff,1.0,0.0,0.0,0.0,0.0
824147fffffffff,4.0,0.0,0.0,0.0,0.0
824167fffffffff,3.0,0.0,0.0,0.0,0.0
8241a7fffffffff,105.0,10.0,0.0,0.0,0.0
8241b7fffffffff,60.0,2.0,0.0,0.0,0.0
824ba7fffffffff,6.0,0.0,0.0,0.0,0.0
826097fffffffff,6.0,0.0,0.0,0.0,0.0
8260b7fffffffff,2.0,0.0,0.0,0.0,0.0
82619ffffffffff,2.0,0.0,0.0,0.0,0.0
82640ffffffffff,4.0,4.0,0.0,0.0,0.0
8264e7fffffffff,1.0,1.0,0.0,0.0,0.0
826507fffffffff,107.0,4.0,0.0,0.0,0.0
82651ffffffffff,80.0,5.0,0.0,0.0,0.0
826527fffffffff,1.0,0.0,0.0,0.0,0.0
82659ffffffffff,3.0,0.0,0.0,0.0,0.0
82684ffffffffff,1.0,0.0,0.0,0.0,0.0
828db7fffffffff,2.0,0.0,0.0,0.0,2.0
