cell_id,Nyctiprogne leucopyga,Nyctiprogne leucopyga [leucopyga Group],Nyctiprogne leucopyga latifascia
825f2ffffffffff,1.0,0.0,0.0
826647fffffffff,1.0,0.0,0.0
826677fffffffff,1.0,0.0,0.0
8266dffffffffff,2.0,0.0,0.0
82674ffffffffff,1.0,1.0,0.0
826757fffffffff,11.0,0.0,0.0
82675ffffffffff,1.0,0.0,0.0
828a57fffffffff,2.0,0.0,0.0
828a8ffffffffff,5.0,0.0,0.0
828ac7fffffffff,2.0,0.0,2.0
828adffffffffff,4.0,4.0,0.0
828af7fffffffff,20.0,0.0,16.0
828b0ffffffffff,4.0,0.0,0.0
828b57fffffffff,2.0,0.0,0.0
828b77fffffffff,2.0,0.0,0.0
828f4ffffffffff,19.0,0.0,0.0
82a85ffffffffff,8.0,0.0,0.0
