cell_id,Willisornis vidua,Willisornis vidua nigrigula,Willisornis vidua vidua
838044fffffffff,7.0,0.0,0.0
838046fffffffff,98.0,0.0,0.0
838062fffffffff,4.0,0.0,0.0
838065fffffffff,14.0,0.0,0.0
838066fffffffff,7.0,0.0,0.0
83806efffffffff,1.0,0.0,0.0
838070fffffffff,2.0,0.0,0.0
838071fffffffff,4.0,0.0,0.0
838072fffffffff,2.0,0.0,0.0
838074fffffffff,7.0,0.0,0.0
838075fffffffff,17.0,0.0,0.0
838140fffffffff,16.0,0.0,0.0
838142fffffffff,4.0,0.0,0.0
838143fffffffff,6.0,0.0,0.0
838148fffffffff,1.0,0.0,0.0
83814afffffffff,92.0,0.0,0.0
83814bfffffffff,2.0,0.0,0.0
83814dfffffffff,10.0,0.0,0.0
83814efffffffff,40.0,0.0,0.0
838158fffffffff,1.0,0.0,0.0
838159fffffffff,10.0,0.0,0.0
83815afffffffff,2.0,0.0,0.0
83815cfffffffff,11.0,0.0,0.0
83815dfffffffff,2.0,0.0,0.0
83815efffffffff,2.0,0.0,2.0
838163fffffffff,9.0,0.0,2.0
838a80fffffffff,13.0,0.0,0.0
838a82fffffffff,9.0,0.0,0.0
838a92fffffffff,10.0,0.0,0.0
838a9cfffffffff,28.0,0.0,0.0
838aa2fffffffff,1.0,0.0,0.0
838ab0fffffffff,1.0,0.0,0.0
838b82fffffffff,1.0,0.0,0.0
838b88fffffffff,1.0,0.0,0.0
838b8afffffffff,1.0,0.0,0.0
838b98fffffffff,1.0,0.0,0.0
838b99fffffffff,52.0,0.0,0.0
838b9dfffffffff,284.0,0.0,0.0
