cell_id,Nothocercus bonapartei,Nothocercus bonapartei [bonapartei Group],Nothocercus bonapartei frantzii
836608fffffffff,288.0,21.0,0.0
83660afffffffff,2.0,0.0,0.0
83660cfffffffff,16.0,2.0,0.0
83660dfffffffff,9.0,0.0,0.0
836618fffffffff,6.0,0.0,0.0
836619fffffffff,6.0,0.0,0.0
83661bfffffffff,149.0,4.0,0.0
83661cfffffffff,1.0,0.0,0.0
83661dfffffffff,19.0,1.0,0.0
836621fffffffff,184.0,0.0,0.0
836629fffffffff,10.0,0.0,0.0
83662bfffffffff,19.0,15.0,0.0
83662efffffffff,10.0,0.0,0.0
8366b4fffffffff,229.0,0.0,0.0
8366b5fffffffff,167.0,0.0,9.0
8366c0fffffffff,50.0,0.0,0.0
8366c2fffffffff,13.0,0.0,0.0
8366c4fffffffff,22.0,0.0,0.0
8366c6fffffffff,124.0,2.0,0.0
8366d1fffffffff,1.0,0.0,0.0
8366defffffffff,49.0,5.0,0.0
8366e0fffffffff,67.0,5.0,0.0
8366e2fffffffff,3.0,0.0,0.0
8366e3fffffffff,18.0,0.0,0.0
8366e4fffffffff,10.0,0.0,0.0
8366e5fffffffff,54.0,0.0,0.0
8366e6fffffffff,11.0,0.0,0.0
8366f0fffffffff,3.0,0.0,0.0
8366f1fffffffff,198.0,0.0,0.0
8366f3fffffffff,2.0,0.0,0.0
8366f5fffffffff,17.0,0.0,0.0
836741fffffffff,1.0,0.0,0.0
836743fffffffff,6.0,0.0,0.0
83674efffffffff,25.0,1.0,0.0
83675afffffffff,30.0,0.0,0.0
83675efffffffff,7.0,0.0,0.0
836d68fffffffff,1.0,0.0,0.0
836d69fffffffff,655.0,0.0,0.0
838f54fffffffff,23.0,0.0,0.0
838f70fffffffff,1.0,0.0,0.0
838f72fffffffff,20.0,0.0,0.0
