cell_id,Daption capense,Daption capense capense,Daption capense australe
848e45dffffffff,1.0,0.0,0.0
848fa6dffffffff,2.0,0.0,0.0
84a7269ffffffff,3.0,0.0,0.0
84a726bffffffff,9.0,0.0,0.0
84ad341ffffffff,1.0,1.0,0.0
84ad345ffffffff,6.0,0.0,0.0
84ad347ffffffff,31.0,0.0,0.0
84ad34dffffffff,25.0,3.0,0.0
84ad369ffffffff,35.0,4.0,0.0
84b2049ffffffff,1.0,0.0,0.0
84b2183ffffffff,3.0,0.0,0.0
84b2191ffffffff,12.0,0.0,0.0
84b2195ffffffff,23.0,0.0,0.0
84b2c0dffffffff,8.0,0.0,0.0
84b2c35ffffffff,7.0,0.0,0.0
84b2c41ffffffff,3.0,0.0,0.0
84b2c45ffffffff,267.0,0.0,0.0
84b2c47ffffffff,4.0,0.0,0.0
84b2c4dffffffff,136.0,0.0,0.0
84b2da9ffffffff,2.0,0.0,0.0
84b2dabffffffff,14.0,0.0,0.0
84b2dcbffffffff,2.0,0.0,0.0
84b2dcdffffffff,4.0,0.0,0.0
84b2e2dffffffff,4.0,0.0,0.0
84b3047ffffffff,9.0,0.0,0.0
84b3197ffffffff,4.0,0.0,0.0
84b3329ffffffff,1.0,0.0,0.0
84ba243ffffffff,1.0,0.0,0.0
84ba245ffffffff,1.0,0.0,0.0
84bb08dffffffff,2.0,0.0,0.0
84bb0a1ffffffff,2.0,0.0,0.0
84bb0a5ffffffff,4.0,0.0,0.0
84bb0a7ffffffff,2.0,0.0,2.0
84bb0adffffffff,3.0,0.0,0.0
84bb0b7ffffffff,1.0,0.0,0.0
84bb0c7ffffffff,5.0,0.0,0.0
84bb0e3ffffffff,3.0,0.0,0.0
84bb241ffffffff,5.0,0.0,0.0
84bb245ffffffff,4.0,0.0,0.0
84bb249ffffffff,1.0,0.0,0.0
84bb24bffffffff,7.0,0.0,0.0
84bb269ffffffff,2.0,0.0,0.0
84bb283ffffffff,3.0,0.0,0.0
84bb291ffffffff,120.0,0.0,0.0
84bb295ffffffff,129.0,0.0,0.0
84bb297ffffffff,5.0,0.0,0.0
84bb29bffffffff,4.0,0.0,0.0
84bb29dffffffff,6.0,0.0,0.0
84bb2bbffffffff,1.0,0.0,0.0
84bb2dbffffffff,581.0,9.0,60.0
84bb34dffffffff,1.0,0.0,0.0
84bb365ffffffff,12.0,0.0,0.0
84bb367ffffffff,2.0,0.0,0.0
84bb36dffffffff,1.0,0.0,0.0
84bb501ffffffff,1.0,0.0,0.0
84bb533ffffffff,9.0,0.0,0.0
84bb537ffffffff,25.0,0.0,0.0
84bb539ffffffff,3.0,0.0,0.0
84bb53dffffffff,2.0,0.0,0.0
84bb54bffffffff,5.0,0.0,0.0
84bb741ffffffff,3.0,0.0,0.0
84bb745ffffffff,7.0,0.0,0.0
84bc653ffffffff,1.0,0.0,0.0
84bc693ffffffff,51.0,1.0,0.0
84bc695ffffffff,3.0,0.0,0.0
84be0c1ffffffff,8.0,0.0,0.0
84be0c7ffffffff,13.0,0.0,0.0
84be0e1ffffffff,2.0,0.0,0.0
84be0e3ffffffff,24.0,0.0,0.0
84be0ebffffffff,6.0,0.0,0.0
84be1d9ffffffff,5.0,0.0,0.0
84be293ffffffff,13.0,0.0,0.0
84be29bffffffff,16.0,0.0,3.0
84be2b7ffffffff,1.0,0.0,0.0
84be689ffffffff,94.0,5.0,12.0
84be68bffffffff,7.0,0.0,0.0
84be691ffffffff,8.0,0.0,0.0
84be695ffffffff,18.0,0.0,0.0
84be69dffffffff,9.0,0.0,0.0
84be6c3ffffffff,1.0,1.0,0.0
84be8ddffffffff,6.0,0.0,0.0
84bf4c9ffffffff,876.0,194.0,191.0
84bf5b1ffffffff,6.0,1.0,5.0
84bf6bbffffffff,8.0,0.0,0.0
84c2031ffffffff,1.0,0.0,0.0
84c2037ffffffff,12.0,0.0,0.0
84c2059ffffffff,1.0,0.0,0.0
84c21c9ffffffff,1.0,0.0,0.0
84c21cbffffffff,16.0,0.0,0.0
84c2f49ffffffff,3.0,0.0,0.0
84c330dffffffff,12.0,0.0,0.0
84c3369ffffffff,5.0,0.0,0.0
84c336bffffffff,9.0,0.0,0.0
84c3a11ffffffff,2.0,0.0,0.0
84c3a57ffffffff,2.0,0.0,0.0
84c9837ffffffff,35.0,0.0,0.0
84c9845ffffffff,23.0,0.0,0.0
84c99ebffffffff,13.0,0.0,0.0
84c9b0bffffffff,5.0,0.0,0.0
84ca80dffffffff,2.0,0.0,0.0
84ca815ffffffff,4.0,0.0,0.0
84ca8e5ffffffff,2.0,0.0,0.0
