cell_id,Trogon collaris,Trogon collaris puella,Trogon collaris aurantiiventris/underwoodi,Trogon collaris [collaris Group]
8445083ffffffff,5.0,0.0,0.0,0.0
8445085ffffffff,43.0,5.0,0.0,0.0
8445087ffffffff,12.0,0.0,0.0,0.0
844508dffffffff,12.0,5.0,0.0,0.0
84450a1ffffffff,23.0,1.0,0.0,0.0
84450a3ffffffff,23.0,0.0,0.0,0.0
84450a7ffffffff,2.0,0.0,0.0,0.0
84450a9ffffffff,6.0,1.0,0.0,0.0
84450abffffffff,7.0,0.0,0.0,0.0
84450c1ffffffff,2.0,0.0,0.0,0.0
84450c5ffffffff,17.0,0.0,0.0,0.0
84450c7ffffffff,6.0,0.0,0.0,0.0
84450cbffffffff,1.0,0.0,0.0,0.0
84450cdffffffff,5.0,0.0,0.0,0.0
84450d3ffffffff,8.0,0.0,0.0,0.0
84450d9ffffffff,2.0,0.0,0.0,0.0
84450ddffffffff,9.0,0.0,0.0,0.0
84450e3ffffffff,113.0,8.0,0.0,0.0
84450ebffffffff,49.0,7.0,0.0,0.0
8445201ffffffff,34.0,0.0,0.0,0.0
8445203ffffffff,42.0,0.0,0.0,0.0
8445205ffffffff,8.0,0.0,0.0,0.0
8445207ffffffff,6.0,0.0,0.0,0.0
8445209ffffffff,11.0,0.0,0.0,0.0
844520bffffffff,91.0,0.0,0.0,0.0
844520dffffffff,163.0,0.0,0.0,0.0
8445211ffffffff,12.0,0.0,0.0,0.0
8445213ffffffff,2.0,0.0,0.0,0.0
8445215ffffffff,25.0,0.0,0.0,0.0
8445217ffffffff,59.0,0.0,0.0,0.0
8445219ffffffff,3.0,0.0,0.0,0.0
844521dffffffff,103.0,0.0,0.0,0.0
8445221ffffffff,3.0,0.0,0.0,0.0
8445225ffffffff,71.0,0.0,0.0,0.0
8445229ffffffff,2.0,0.0,0.0,0.0
844522dffffffff,3.0,0.0,0.0,0.0
8445233ffffffff,86.0,0.0,0.0,0.0
844523bffffffff,9.0,0.0,0.0,0.0
8445241ffffffff,19.0,0.0,0.0,0.0
8445243ffffffff,150.0,0.0,0.0,0.0
8445245ffffffff,13.0,0.0,0.0,0.0
8445247ffffffff,82.0,0.0,0.0,0.0
844524bffffffff,45.0,0.0,0.0,0.0
8445251ffffffff,5.0,0.0,0.0,0.0
8445253ffffffff,5.0,0.0,0.0,0.0
8445255ffffffff,13.0,0.0,0.0,0.0
8445257ffffffff,13.0,0.0,0.0,0.0
844525bffffffff,17.0,0.0,0.0,0.0
844525dffffffff,6.0,0.0,0.0,0.0
8445261ffffffff,2.0,0.0,0.0,0.0
8445263ffffffff,355.0,0.0,0.0,0.0
8445269ffffffff,35.0,0.0,0.0,0.0
844526bffffffff,54.0,0.0,0.0,0.0
8445281ffffffff,26.0,0.0,0.0,0.0
8445283ffffffff,13.0,4.0,0.0,0.0
8445285ffffffff,25.0,4.0,0.0,0.0
8445287ffffffff,33.0,4.0,0.0,0.0
8445289ffffffff,342.0,0.0,0.0,0.0
844528dffffffff,56.0,0.0,0.0,0.0
8445291ffffffff,5.0,0.0,0.0,0.0
84452a1ffffffff,1.0,0.0,0.0,0.0
84452a3ffffffff,7.0,0.0,0.0,0.0
84452a7ffffffff,8.0,5.0,0.0,0.0
84452a9ffffffff,145.0,0.0,0.0,0.0
84452abffffffff,15.0,0.0,0.0,0.0
84452adffffffff,26.0,0.0,0.0,0.0
84452b5ffffffff,19.0,0.0,0.0,0.0
84452b9ffffffff,18.0,4.0,0.0,0.0
84452bdffffffff,33.0,0.0,0.0,0.0
84452c1ffffffff,4.0,0.0,0.0,0.0
84452c3ffffffff,176.0,0.0,0.0,0.0
84452c5ffffffff,66.0,0.0,0.0,0.0
84452c7ffffffff,31.0,0.0,0.0,0.0
84452c9ffffffff,8.0,0.0,0.0,0.0
84452cbffffffff,2.0,0.0,0.0,0.0
84452d5ffffffff,2.0,0.0,0.0,0.0
84452d9ffffffff,66.0,0.0,0.0,0.0
84452dbffffffff,21.0,0.0,0.0,0.0
84452e1ffffffff,557.0,0.0,0.0,0.0
84452e3ffffffff,42.0,0.0,0.0,0.0
84452e5ffffffff,302.0,0.0,0.0,0.0
84452e9ffffffff,132.0,0.0,0.0,0.0
84452ebffffffff,309.0,0.0,0.0,0.0
84452edffffffff,225.0,0.0,0.0,0.0
8445303ffffffff,3.0,0.0,0.0,0.0
8445305ffffffff,10.0,0.0,0.0,0.0
8445309ffffffff,16.0,0.0,0.0,0.0
844530dffffffff,4.0,0.0,0.0,0.0
8445319ffffffff,11.0,0.0,0.0,0.0
844532bffffffff,13.0,0.0,0.0,0.0
8445343ffffffff,71.0,0.0,0.0,0.0
8445351ffffffff,238.0,0.0,0.0,0.0
8445353ffffffff,1.0,0.0,0.0,0.0
8445355ffffffff,1.0,0.0,0.0,0.0
