cell_id,Caracara plancus,Caracara plancus cheriway,Caracara plancus plancus
8426c81ffffffff,2.0,2.0,0.0
8426c83ffffffff,12.0,10.0,0.0
8426c85ffffffff,2.0,2.0,0.0
8426c87ffffffff,21.0,2.0,0.0
8426c89ffffffff,42.0,15.0,0.0
8426c8bffffffff,17.0,15.0,0.0
8426c8dffffffff,2.0,0.0,0.0
8426c91ffffffff,29.0,27.0,0.0
8426c93ffffffff,3.0,2.0,0.0
8426c95ffffffff,28.0,26.0,0.0
8426c97ffffffff,60.0,53.0,0.0
8426c99ffffffff,10.0,10.0,0.0
8426c9dffffffff,165.0,145.0,0.0
8426ca1ffffffff,3.0,0.0,0.0
8426ca3ffffffff,35.0,26.0,0.0
8426ca7ffffffff,3.0,0.0,0.0
8426ca9ffffffff,2.0,2.0,0.0
8426cabffffffff,5.0,5.0,0.0
8426cb1ffffffff,34.0,18.0,0.0
8426cb3ffffffff,41.0,38.0,0.0
8426cb5ffffffff,31.0,16.0,0.0
8426cb7ffffffff,18.0,7.0,0.0
8426cb9ffffffff,555.0,423.0,0.0
8426cbbffffffff,60.0,27.0,0.0
8426cbdffffffff,32.0,21.0,0.0
8426cd1ffffffff,1.0,1.0,0.0
8426cd3ffffffff,30.0,30.0,0.0
8426cd5ffffffff,11.0,7.0,0.0
8426cd7ffffffff,15.0,15.0,0.0
8426cdbffffffff,2.0,2.0,0.0
8426ce5ffffffff,2.0,2.0,0.0
8426ce7ffffffff,1.0,0.0,0.0
8426d93ffffffff,6.0,6.0,0.0
8426d97ffffffff,9.0,0.0,0.0
8426d9bffffffff,2.0,2.0,0.0
8426d9dffffffff,2.0,2.0,0.0
8426db3ffffffff,1.0,0.0,0.0
8426dbbffffffff,1.0,0.0,0.0
8426dd3ffffffff,3.0,3.0,0.0
8426dd7ffffffff,6.0,5.0,0.0
8426dd9ffffffff,6.0,2.0,0.0
8426ddbffffffff,4.0,0.0,0.0
8444123ffffffff,45.0,32.0,0.0
8444127ffffffff,5.0,5.0,0.0
8444131ffffffff,55.0,38.0,0.0
8444133ffffffff,57.0,39.0,0.0
8444135ffffffff,851.0,580.0,0.0
8444137ffffffff,541.0,476.0,0.0
844413dffffffff,116.0,58.0,0.0
84441a5ffffffff,5.0,5.0,0.0
84441e5ffffffff,692.0,501.0,0.0
84441e7ffffffff,345.0,314.0,0.0
8444249ffffffff,43.0,23.0,0.0
8444301ffffffff,6.0,6.0,0.0
844430dffffffff,24.0,17.0,0.0
8444329ffffffff,12.0,11.0,0.0
844432dffffffff,1.0,1.0,0.0
8444347ffffffff,2.0,0.0,0.0
8444363ffffffff,106.0,74.0,0.0
8444443ffffffff,3.0,2.0,0.0
844444bffffffff,43.0,33.0,0.0
8444451ffffffff,116.0,63.0,0.0
8444455ffffffff,2.0,0.0,0.0
8444459ffffffff,2341.0,1708.0,0.0
844445bffffffff,24.0,21.0,0.0
844445dffffffff,113.0,58.0,0.0
84444dbffffffff,5.0,0.0,0.0
8444633ffffffff,520.0,439.0,0.0
8444637ffffffff,42.0,29.0,0.0
8444681ffffffff,4.0,4.0,0.0
8444683ffffffff,4.0,4.0,0.0
8444689ffffffff,4.0,4.0,0.0
8444691ffffffff,11.0,10.0,0.0
8444693ffffffff,175.0,143.0,0.0
8444695ffffffff,7.0,2.0,0.0
8444697ffffffff,11.0,10.0,0.0
8444699ffffffff,67.0,54.0,0.0
844469bffffffff,56.0,39.0,0.0
844469dffffffff,28.0,22.0,0.0
84446a9ffffffff,1.0,0.0,0.0
84446b3ffffffff,2.0,0.0,0.0
84446b7ffffffff,1.0,0.0,0.0
84446b9ffffffff,2.0,0.0,0.0
84446c1ffffffff,666.0,441.0,0.0
84446c3ffffffff,121.0,82.0,0.0
