cell_id,Ptilocichla mindanensis,Ptilocichla mindanensis minuta/fortichi,Ptilocichla mindanensis mindanensis/basilanica
826847fffffffff,115.0,2.0,1.0
82684ffffffffff,167.0,0.0,10.0
826857fffffffff,9.0,0.0,2.0
82685ffffffffff,112.0,0.0,28.0
82686ffffffffff,33.0,5.0,0.0
