cell_id,Rallus longirostris,Rallus longirostris berryorum,Rallus longirostris cypereti,Rallus longirostris [longirostris Group]
845f083ffffffff,2.0,0.0,0.0,0.0
845f095ffffffff,52.0,0.0,0.0,0.0
845f09dffffffff,1.0,0.0,0.0,0.0
845f12bffffffff,1.0,0.0,0.0,0.0
845f1c3ffffffff,12.0,0.0,0.0,0.0
845f1e9ffffffff,5.0,0.0,0.0,0.0
845f1edffffffff,2.0,0.0,0.0,0.0
845f4b3ffffffff,98.0,0.0,0.0,0.0
845f583ffffffff,77.0,0.0,0.0,0.0
845f58bffffffff,4.0,0.0,0.0,0.0
845f595ffffffff,1.0,0.0,0.0,0.0
846743dffffffff,14.0,0.0,0.0,1.0
84674c9ffffffff,4.0,0.0,0.0,0.0
8467503ffffffff,4.0,0.0,0.0,0.0
8467521ffffffff,2.0,0.0,0.0,0.0
8467523ffffffff,96.0,0.0,0.0,0.0
846752dffffffff,5.0,0.0,0.0,0.0
8467551ffffffff,26.0,0.0,0.0,8.0
8467557ffffffff,9.0,0.0,0.0,0.0
8467559ffffffff,36.0,0.0,0.0,0.0
8467693ffffffff,20.0,0.0,0.0,1.0
846769bffffffff,3.0,0.0,0.0,0.0
846d601ffffffff,91.0,15.0,0.0,0.0
846d605ffffffff,20.0,2.0,0.0,0.0
846d607ffffffff,27.0,0.0,0.0,0.0
846d60dffffffff,37.0,2.0,0.0,0.0
846d639ffffffff,85.0,0.0,0.0,0.0
846d63bffffffff,1.0,0.0,0.0,0.0
846d663ffffffff,70.0,5.0,0.0,0.0
846d683ffffffff,16.0,0.0,0.0,0.0
846d685ffffffff,1.0,0.0,0.0,0.0
846d695ffffffff,187.0,0.0,0.0,0.0
846d6b9ffffffff,48.0,0.0,0.0,0.0
8480089ffffffff,12.0,0.0,0.0,0.0
848008bffffffff,1.0,0.0,0.0,0.0
8480091ffffffff,10.0,0.0,0.0,0.0
8480105ffffffff,2.0,0.0,0.0,0.0
8480107ffffffff,1.0,0.0,0.0,0.0
848011bffffffff,1.0,0.0,0.0,0.0
8480139ffffffff,9.0,0.0,0.0,0.0
8480163ffffffff,2.0,0.0,0.0,0.0
8480165ffffffff,19.0,0.0,0.0,3.0
8480541ffffffff,26.0,0.0,0.0,23.0
848054bffffffff,16.0,0.0,0.0,3.0
8480737ffffffff,3.0,0.0,0.0,0.0
8481125ffffffff,39.0,0.0,0.0,3.0
8481327ffffffff,1.0,0.0,0.0,0.0
84818b1ffffffff,2.0,0.0,0.0,0.0
84818b3ffffffff,33.0,0.0,0.0,0.0
8481a33ffffffff,1.0,0.0,0.0,0.0
848f0ddffffffff,14.0,0.0,0.0,0.0
84a5969ffffffff,35.0,0.0,0.0,0.0
84a810dffffffff,4.0,0.0,0.0,0.0
84a8143ffffffff,85.0,0.0,0.0,6.0
84a8311ffffffff,4.0,0.0,0.0,0.0
84a8317ffffffff,8.0,0.0,0.0,0.0
84a831dffffffff,2.0,0.0,0.0,0.0
84a8333ffffffff,30.0,0.0,0.0,8.0
84a8337ffffffff,11.0,0.0,0.0,0.0
84a833bffffffff,7.0,0.0,0.0,0.0
84a8357ffffffff,39.0,0.0,0.0,0.0
84a8915ffffffff,1.0,0.0,0.0,0.0
84a8957ffffffff,18.0,0.0,0.0,0.0
84a8a03ffffffff,134.0,0.0,0.0,0.0
84a8a19ffffffff,1.0,0.0,0.0,0.0
84a8a25ffffffff,12.0,0.0,0.0,3.0
84a8a2dffffffff,1.0,0.0,0.0,0.0
84a9181ffffffff,9.0,0.0,0.0,0.0
84a9187ffffffff,1.0,0.0,0.0,0.0
84a91b5ffffffff,17.0,0.0,0.0,0.0
84a91b7ffffffff,6.0,0.0,0.0,0.0
