cell_id,Tanysiptera galatea,Tanysiptera galatea [galatea Group],Tanysiptera galatea rosseliana
8495613ffffffff,5.0,0.0,0.0
8495617ffffffff,6.0,0.0,0.0
849caadffffffff,3.0,0.0,0.0
849cd31ffffffff,8.0,0.0,0.0
849cd3dffffffff,1.0,0.0,0.0
