cell_id,Hylophilus amaurocephalus,Hylophilus amaurocephalus [undescribed Beni form]
828007fffffffff,13.0,0.0
828017fffffffff,62.0,0.0
828027fffffffff,3.0,0.0
828037fffffffff,162.0,0.0
828107fffffffff,106.0,0.0
828117fffffffff,11.0,0.0
82811ffffffffff,16.0,0.0
828127fffffffff,266.0,0.0
828137fffffffff,152.0,0.0
828187fffffffff,62.0,0.0
82818ffffffffff,63.0,0.0
82819ffffffffff,28.0,0.0
8281affffffffff,51.0,0.0
82a597fffffffff,1.0,0.0
82a807fffffffff,9.0,0.0
82a80ffffffffff,1.0,0.0
82a817fffffffff,59.0,0.0
82a81ffffffffff,145.0,0.0
82a887fffffffff,622.0,0.0
82a88ffffffffff,96.0,0.0
82a897fffffffff,5.0,0.0
82a89ffffffffff,3.0,0.0
82a8a7fffffffff,73.0,0.0
82a8affffffffff,281.0,0.0
82a8d7fffffffff,5.0,0.0
82a8f7fffffffff,3.0,0.0
