cell_id,Lophura inornata,Lophura inornata hoogerwerfi,Lophura inornata inornata
836509fffffffff,2.0,0.0,0.0
83652dfffffffff,1.0,0.0,0.0
836554fffffffff,1.0,0.0,0.0
836556fffffffff,1.0,1.0,0.0
836576fffffffff,1.0,0.0,0.0
838c1afffffffff,6.0,0.0,0.0
838cd0fffffffff,66.0,0.0,6.0
838cd3fffffffff,1.0,0.0,0.0
838cd5fffffffff,10.0,0.0,0.0
